question_id,prompt,correct_answer,distractor
46,"Q: Which word has more letters, ""about"" or ""father""?
A:",father,about
47,"Q: Which word has more letters, ""pilot"" or ""camp""?
A:",pilot,camp
48,"Q: Which word has more letters, ""sun"" or ""page""?
A:",page,sun
49,"Q: Which word has more letters, ""enough"" or ""yours""?
A:",enough,yours
50,"Q: Which word has more letters, ""mouth"" or ""almost""?
A:",almost,mouth
51,"Q: Which word has more letters, ""hungry"" or ""the""?
A:",hungry,the
52,"Q: Which word has more letters, ""family"" or ""upset""?
A:",family,upset
53,"Q: Which word has more letters, ""twice"" or ""bird""?
A:",twice,bird
54,"Q: Which word has more letters, ""fish"" or ""daughter""?
A:",daughter,fish
55,"Q: Which word has more letters, ""yeah"" or ""any""?
A:",yeah,any
56,"Q: Which word has more letters, ""history"" or ""wine""?
A:",history,wine
57,"Q: Which word has more letters, ""nose"" or ""explain""?
A:",explain,nose
58,"Q: Which word has more letters, ""cabinet"" or ""dinosaur""?
A:",dinosaur,cabinet
59,"Q: Which word has more letters, ""farm"" or ""badly""?
A:",badly,farm
60,"Q: Which word has more letters, ""slice"" or ""how""?
A:",slice,how
61,"Q: Which word has more letters, ""board"" or ""country""?
A:",country,board
62,"Q: Which word has more letters, ""rap"" or ""milk""?
A:",milk,rap
63,"Q: Which word has more letters, ""discount"" or ""draw""?
A:",discount,draw
64,"Q: Which word has more letters, ""enjoy"" or ""left""?
A:",enjoy,left
65,"Q: Which word has more letters, ""single"" or ""must""?
A:",single,must
66,"Q: Which word has more letters, ""send"" or ""close""?
A:",close,send
67,"Q: Which word has more letters, ""glad"" or ""finger""?
A:",finger,glad
68,"Q: Which word has more letters, ""blond"" or ""strong""?
A:",strong,blond
69,"Q: Which word has more letters, ""toe"" or ""dirty""?
A:",dirty,toe
70,"Q: Which word has more letters, ""name"" or ""polite""?
A:",polite,name
71,"Q: Which word has more letters, ""things"" or ""hit""?
A:",things,hit
72,"Q: Which word has more letters, ""eat"" or ""with""?
A:",with,eat
73,"Q: Which word has more letters, ""same"" or ""broken""?
A:",broken,same
74,"Q: Which word has more letters, ""money"" or ""playground""?
A:",playground,money
75,"Q: Which word has more letters, ""yogurt"" or ""kid""?
A:",yogurt,kid
76,"Q: Which word has more letters, ""quickly"" or ""math""?
A:",quickly,math
77,"Q: Which word has more letters, ""smoke"" or ""only""?
A:",smoke,only
78,"Q: Which word has more letters, ""can"" or ""friendly""?
A:",friendly,can
79,"Q: Which word has more letters, ""half"" or ""daily""?
A:",daily,half
80,"Q: Which word has more letters, ""most"" or ""skirt""?
A:",skirt,most
81,"Q: Which word has more letters, ""dog"" or ""water""?
A:",water,dog
82,"Q: Which word has more letters, ""improve"" or ""sure""?
A:",improve,sure
83,"Q: Which word has more letters, ""cover"" or ""tram""?
A:",cover,tram
84,"Q: Which word has more letters, ""know"" or ""space""?
A:",space,know
85,"Q: Which word has more letters, ""roast"" or ""folder""?
A:",folder,roast
86,"Q: Which word has more letters, ""wear"" or ""fashion""?
A:",fashion,wear
87,"Q: Which word has more letters, ""delay"" or ""hospital""?
A:",hospital,delay
88,"Q: Which word has more letters, ""chef"" or ""other""?
A:",other,chef
89,"Q: Which word has more letters, ""copy"" or ""we""?
A:",copy,we
90,"Q: Which word has more letters, ""rugby"" or ""long""?
A:",rugby,long
91,"Q: Which word has more letters, ""rain"" or ""at""?
A:",rain,at
92,"Q: Which word has more letters, ""grade"" or ""team""?
A:",grade,team
93,"Q: Which word has more letters, ""top"" or ""wine""?
A:",wine,top
94,"Q: Which word has more letters, ""word"" or ""wet""?
A:",word,wet
95,"Q: Which word has more letters, ""begin"" or ""pig""?
A:",begin,pig
96,"Q: Which word has more letters, ""document"" or ""pair""?
A:",document,pair
97,"Q: Which word has more letters, ""cabinet"" or ""wet""?
A:",cabinet,wet
98,"Q: Which word has more letters, ""under"" or ""history""?
A:",history,under
99,"Q: Which word has more letters, ""blond"" or ""end""?
A:",blond,end
100,"Q: Which word has more letters, ""an"" or ""bad""?
A:",bad,an
101,"Q: Which word has more letters, ""quiet"" or ""fun""?
A:",quiet,fun
102,"Q: Which word has more letters, ""us"" or ""out""?
A:",out,us
103,"Q: Which word has more letters, ""east"" or ""factory""?
A:",factory,east
104,"Q: Which word has more letters, ""bear"" or ""dancer""?
A:",dancer,bear
105,"Q: Which word has more letters, ""nice"" or ""hat""?
A:",nice,hat
106,"Q: Which word has more letters, ""plastic"" or ""end""?
A:",plastic,end
107,"Q: Which word has more letters, ""on"" or ""blanket""?
A:",blanket,on
108,"Q: Which word has more letters, ""ready"" or ""best""?
A:",ready,best
109,"Q: Which word has more letters, ""list"" or ""brush""?
A:",brush,list
110,"Q: Which word has more letters, ""course"" or ""far""?
A:",course,far
111,"Q: Which word has more letters, ""tie"" or ""maybe""?
A:",maybe,tie
112,"Q: Which word has more letters, ""out"" or ""history""?
A:",history,out
113,"Q: Which word has more letters, ""family"" or ""careful""?
A:",careful,family
114,"Q: Which word has more letters, ""sing"" or ""tea""?
A:",sing,tea
115,"Q: Which word has more letters, ""modern"" or ""below""?
A:",modern,below
116,"Q: Which word has more letters, ""milk"" or ""climb""?
A:",climb,milk
117,"Q: Which word has more letters, ""blouse"" or ""juice""?
A:",blouse,juice
118,"Q: Which word has more letters, ""soap"" or ""noisy""?
A:",noisy,soap
119,"Q: Which word has more letters, ""pink"" or ""price""?
A:",price,pink
120,"Q: Which word has more letters, ""bread"" or ""gray""?
A:",bread,gray
121,"Q: Which word has more letters, ""buy"" or ""history""?
A:",history,buy
122,"Q: Which word has more letters, ""ear"" or ""pilot""?
A:",pilot,ear
123,"Q: Which word has more letters, ""ask"" or ""speak""?
A:",speak,ask
124,"Q: Which word has more letters, ""them"" or ""radio""?
A:",radio,them
125,"Q: Which word has more letters, ""danger"" or ""guy""?
A:",danger,guy
126,"Q: Which word has more letters, ""kid"" or ""market""?
A:",market,kid
127,"Q: Which word has more letters, ""smoke"" or ""list""?
A:",smoke,list
128,"Q: Which word has more letters, ""day"" or ""best""?
A:",best,day
129,"Q: Which word has more letters, ""play"" or ""upset""?
A:",upset,play
130,"Q: Which word has more letters, ""shut"" or ""any""?
A:",shut,any
131,"Q: Which word has more letters, ""dancer"" or ""set""?
A:",dancer,set
132,"Q: Which word has more letters, ""how"" or ""fried""?
A:",fried,how
133,"Q: Which word has more letters, ""fail"" or ""round""?
A:",round,fail
134,"Q: Which word has more letters, ""extra"" or ""plus""?
A:",extra,plus
135,"Q: Which word has more letters, ""grow"" or ""leg""?
A:",grow,leg
136,"Q: Which word has more letters, ""tired"" or ""our""?
A:",tired,our
137,"Q: Which word has more letters, ""minute"" or ""platform""?
A:",platform,minute
138,"Q: Which word has more letters, ""talk"" or ""heavy""?
A:",heavy,talk
139,"Q: Which word has more letters, ""easy"" or ""steal""?
A:",steal,easy
140,"Q: Which word has more letters, ""hair"" or ""kilogram""?
A:",kilogram,hair
141,"Q: Which word has more letters, ""comb"" or ""fun""?
A:",comb,fun
142,"Q: Which word has more letters, ""bother"" or ""ago""?
A:",bother,ago
143,"Q: Which word has more letters, ""father"" or ""cap""?
A:",father,cap
144,"Q: Which word has more letters, ""machine"" or ""chain""?
A:",machine,chain
145,"Q: Which word has more letters, ""knife"" or ""earn""?
A:",knife,earn
146,"Q: Which word has more letters, ""brush"" or ""minute""?
A:",minute,brush
147,"Q: Which word has more letters, ""anymore"" or ""sandwich""?
A:",sandwich,anymore
148,"Q: Which word has more letters, ""could"" or ""her""?
A:",could,her
149,"Q: Which word has more letters, ""child"" or ""orange""?
A:",orange,child
150,"Q: Which word has more letters, ""flower"" or ""soup""?
A:",flower,soup
151,"Q: Which word has more letters, ""him"" or ""diary""?
A:",diary,him
152,"Q: Which word has more letters, ""boyfriend"" or ""rest""?
A:",boyfriend,rest
153,"Q: Which word has more letters, ""during"" or ""slow""?
A:",during,slow
154,"Q: Which word has more letters, ""above"" or ""how""?
A:",above,how
155,"Q: Which word has more letters, ""spring"" or ""worst""?
A:",spring,worst
156,"Q: Which word has more letters, ""block"" or ""sad""?
A:",block,sad
157,"Q: Which word has more letters, ""simple"" or ""pink""?
A:",simple,pink
158,"Q: Which word has more letters, ""player"" or ""aunt""?
A:",player,aunt
159,"Q: Which word has more letters, ""fried"" or ""man""?
A:",fried,man
160,"Q: Which word has more letters, ""mosque"" or ""gold""?
A:",mosque,gold
161,"Q: Which word has more letters, ""include"" or ""much""?
A:",include,much
162,"Q: Which word has more letters, ""badly"" or ""toe""?
A:",badly,toe
163,"Q: Which word has more letters, ""roast"" or ""rent""?
A:",roast,rent
164,"Q: Which word has more letters, ""dinosaur"" or ""desk""?
A:",dinosaur,desk
165,"Q: Which word has more letters, ""low"" or ""bike""?
A:",bike,low
166,"Q: Which word has more letters, ""old"" or ""curtain""?
A:",curtain,old
167,"Q: Which word has more letters, ""one"" or ""spend""?
A:",spend,one
168,"Q: Which word has more letters, ""no"" or ""ours""?
A:",ours,no
169,"Q: Which word has more letters, ""fog"" or ""musical""?
A:",musical,fog
170,"Q: Which word has more letters, ""pen"" or ""nose""?
A:",nose,pen
171,"Q: Which word has more letters, ""piano"" or ""left""?
A:",piano,left
172,"Q: Which word has more letters, ""things"" or ""from""?
A:",things,from
173,"Q: Which word has more letters, ""friend"" or ""note""?
A:",friend,note
174,"Q: Which word has more letters, ""only"" or ""project""?
A:",project,only
175,"Q: Which word has more letters, ""hair"" or ""no""?
A:",hair,no
176,"Q: Which word has more letters, ""parent"" or ""far""?
A:",parent,far
177,"Q: Which word has more letters, ""half"" or ""keyboard""?
A:",keyboard,half
178,"Q: Which word has more letters, ""skate"" or ""now""?
A:",skate,now
179,"Q: Which word has more letters, ""meat"" or ""wonderful""?
A:",wonderful,meat
180,"Q: Which word has more letters, ""piano"" or ""jacket""?
A:",jacket,piano
181,"Q: Which word has more letters, ""best"" or ""fashion""?
A:",fashion,best
182,"Q: Which word has more letters, ""his"" or ""up""?
A:",his,up
183,"Q: Which word has more letters, ""you"" or ""push""?
A:",push,you
184,"Q: Which word has more letters, ""fast"" or ""fruit""?
A:",fruit,fast
185,"Q: Which word has more letters, ""man"" or ""mango""?
A:",mango,man
186,"Q: Which word has more letters, ""special"" or ""bus""?
A:",special,bus
187,"Q: Which word has more letters, ""daughter"" or ""foreign""?
A:",daughter,foreign
188,"Q: Which word has more letters, ""guitar"" or ""pear""?
A:",guitar,pear
189,"Q: Which word has more letters, ""closet"" or ""show""?
A:",closet,show
190,"Q: Which word has more letters, ""kind"" or ""sugar""?
A:",sugar,kind
191,"Q: Which word has more letters, ""purse"" or ""for""?
A:",purse,for
192,"Q: Which word has more letters, ""improve"" or ""very""?
A:",improve,very
193,"Q: Which word has more letters, ""details"" or ""seat""?
A:",details,seat
194,"Q: Which word has more letters, ""fat"" or ""best""?
A:",best,fat
195,"Q: Which word has more letters, ""plastic"" or ""speak""?
A:",plastic,speak
196,"Q: Which word has more letters, ""to"" or ""dish""?
A:",dish,to
197,"Q: Which word has more letters, ""at"" or ""age""?
A:",age,at
198,"Q: Which word has more letters, ""speak"" or ""know""?
A:",speak,know
199,"Q: Which word has more letters, ""kilo"" or ""clean""?
A:",clean,kilo
200,"Q: Which word has more letters, ""chemistry"" or ""line""?
A:",chemistry,line
201,"Q: Which word has more letters, ""fly"" or ""gray""?
A:",gray,fly
202,"Q: Which word has more letters, ""country"" or ""birth""?
A:",country,birth
203,"Q: Which word has more letters, ""glove"" or ""some""?
A:",glove,some
204,"Q: Which word has more letters, ""on"" or ""guy""?
A:",guy,on
205,"Q: Which word has more letters, ""heavy"" or ""soap""?
A:",heavy,soap
206,"Q: Which word has more letters, ""once"" or ""pants""?
A:",pants,once
207,"Q: Which word has more letters, ""lend"" or ""under""?
A:",under,lend
208,"Q: Which word has more letters, ""die"" or ""luck""?
A:",luck,die
209,"Q: Which word has more letters, ""model"" or ""mother""?
A:",mother,model
210,"Q: Which word has more letters, ""lucky"" or ""name""?
A:",lucky,name
211,"Q: Which word has more letters, ""purse"" or ""bear""?
A:",purse,bear
212,"Q: Which word has more letters, ""dance"" or ""ours""?
A:",dance,ours
213,"Q: Which word has more letters, ""keyboard"" or ""so""?
A:",keyboard,so
214,"Q: Which word has more letters, ""young"" or ""trip""?
A:",young,trip
215,"Q: Which word has more letters, ""special"" or ""fair""?
A:",special,fair
216,"Q: Which word has more letters, ""kilo"" or ""white""?
A:",white,kilo
217,"Q: Which word has more letters, ""century"" or ""guest""?
A:",century,guest
218,"Q: Which word has more letters, ""shut"" or ""field""?
A:",field,shut
219,"Q: Which word has more letters, ""dirty"" or ""listen""?
A:",listen,dirty
220,"Q: Which word has more letters, ""white"" or ""can""?
A:",white,can
221,"Q: Which word has more letters, ""software"" or ""type""?
A:",software,type
222,"Q: Which word has more letters, ""ready"" or ""open""?
A:",ready,open
223,"Q: Which word has more letters, ""stadium"" or ""light""?
A:",stadium,light
224,"Q: Which word has more letters, ""insect"" or ""reading""?
A:",reading,insect
225,"Q: Which word has more letters, ""myself"" or ""cent""?
A:",myself,cent
226,"Q: Which word has more letters, ""place"" or ""hand""?
A:",place,hand
227,"Q: Which word has more letters, ""polite"" or ""stadium""?
A:",stadium,polite
228,"Q: Which word has more letters, ""sign"" or ""price""?
A:",price,sign
229,"Q: Which word has more letters, ""husband"" or ""exit""?
A:",husband,exit
230,"Q: Which word has more letters, ""mother"" or ""cost""?
A:",mother,cost
231,"Q: Which word has more letters, ""leg"" or ""break""?
A:",break,leg
232,"Q: Which word has more letters, ""south"" or ""fact""?
A:",south,fact
233,"Q: Which word has more letters, ""hit"" or ""normal""?
A:",normal,hit
234,"Q: Which word has more letters, ""life"" or ""improve""?
A:",improve,life
235,"Q: Which word has more letters, ""quick"" or ""cake""?
A:",quick,cake
236,"Q: Which word has more letters, ""stay"" or ""opera""?
A:",opera,stay
237,"Q: Which word has more letters, ""plus"" or ""fat""?
A:",plus,fat
238,"Q: Which word has more letters, ""dirty"" or ""carpet""?
A:",carpet,dirty
239,"Q: Which word has more letters, ""surfing"" or ""hers""?
A:",surfing,hers
240,"Q: Which word has more letters, ""change"" or ""also""?
A:",change,also
241,"Q: Which word has more letters, ""low"" or ""warm""?
A:",warm,low
242,"Q: Which word has more letters, ""lemon"" or ""company""?
A:",company,lemon
243,"Q: Which word has more letters, ""mark"" or ""box""?
A:",mark,box
244,"Q: Which word has more letters, ""could"" or ""ad""?
A:",could,ad
245,"Q: Which word has more letters, ""soup"" or ""project""?
A:",project,soup
246,"Q: Which word has more letters, ""night"" or ""birthday""?
A:",birthday,night
247,"Q: Which word has more letters, ""can"" or ""turn""?
A:",turn,can
248,"Q: Which word has more letters, ""reason"" or ""fly""?
A:",reason,fly
249,"Q: Which word has more letters, ""prize"" or ""bad""?
A:",prize,bad
250,"Q: Which word has more letters, ""into"" or ""place""?
A:",place,into
251,"Q: Which word has more letters, ""north"" or ""art""?
A:",north,art
252,"Q: Which word has more letters, ""throw"" or ""kite""?
A:",throw,kite
253,"Q: Which word has more letters, ""sock"" or ""pet""?
A:",sock,pet
254,"Q: Which word has more letters, ""point"" or ""country""?
A:",country,point
255,"Q: Which word has more letters, ""view"" or ""daily""?
A:",daily,view
256,"Q: Which word has more letters, ""bat"" or ""improve""?
A:",improve,bat
257,"Q: Which word has more letters, ""show"" or ""hat""?
A:",show,hat
258,"Q: Which word has more letters, ""sea"" or ""fruit""?
A:",fruit,sea
259,"Q: Which word has more letters, ""sea"" or ""name""?
A:",name,sea
260,"Q: Which word has more letters, ""pink"" or ""camping""?
A:",camping,pink
261,"Q: Which word has more letters, ""things"" or ""sort""?
A:",things,sort
262,"Q: Which word has more letters, ""belt"" or ""cheap""?
A:",cheap,belt
263,"Q: Which word has more letters, ""heart"" or ""coat""?
A:",heart,coat
264,"Q: Which word has more letters, ""enough"" or ""shirt""?
A:",enough,shirt
265,"Q: Which word has more letters, ""you"" or ""exactly""?
A:",exactly,you
266,"Q: Which word has more letters, ""age"" or ""racket""?
A:",racket,age
267,"Q: Which word has more letters, ""hers"" or ""party""?
A:",party,hers
268,"Q: Which word has more letters, ""both"" or ""player""?
A:",player,both
269,"Q: Which word has more letters, ""size"" or ""yes""?
A:",size,yes
270,"Q: Which word has more letters, ""watch"" or ""quickly""?
A:",quickly,watch
271,"Q: Which word has more letters, ""train"" or ""flower""?
A:",flower,train
272,"Q: Which word has more letters, ""car"" or ""uniform""?
A:",uniform,car
273,"Q: Which word has more letters, ""build"" or ""we""?
A:",build,we
274,"Q: Which word has more letters, ""actor"" or ""sit""?
A:",actor,sit
275,"Q: Which word has more letters, ""fried"" or ""around""?
A:",around,fried
276,"Q: Which word has more letters, ""disco"" or ""fly""?
A:",disco,fly
277,"Q: Which word has more letters, ""camping"" or ""cloudy""?
A:",camping,cloudy
278,"Q: Which word has more letters, ""nature"" or ""plate""?
A:",nature,plate
279,"Q: Which word has more letters, ""copy"" or ""country""?
A:",country,copy
280,"Q: Which word has more letters, ""stay"" or ""noise""?
A:",noise,stay
281,"Q: Which word has more letters, ""in"" or ""site""?
A:",site,in
282,"Q: Which word has more letters, ""one"" or ""lion""?
A:",lion,one
283,"Q: Which word has more letters, ""monkey"" or ""find""?
A:",monkey,find
284,"Q: Which word has more letters, ""fast"" or ""heavy""?
A:",heavy,fast
285,"Q: Which word has more letters, ""extra"" or ""island""?
A:",island,extra
286,"Q: Which word has more letters, ""race"" or ""forget""?
A:",forget,race
287,"Q: Which word has more letters, ""liter"" or ""bath""?
A:",liter,bath
288,"Q: Which word has more letters, ""golf"" or ""now""?
A:",golf,now
289,"Q: Which word has more letters, ""pear"" or ""details""?
A:",details,pear
290,"Q: Which word has more letters, ""skirt"" or ""path""?
A:",skirt,path
291,"Q: Which word has more letters, ""my"" or ""wonderful""?
A:",wonderful,my
292,"Q: Which word has more letters, ""mark"" or ""key""?
A:",mark,key
293,"Q: Which word has more letters, ""long"" or ""reading""?
A:",reading,long
294,"Q: Which word has more letters, ""normal"" or ""cream""?
A:",normal,cream
295,"Q: Which word has more letters, ""some"" or ""print""?
A:",print,some
296,"Q: Which word has more letters, ""keyboard"" or ""noise""?
A:",keyboard,noise
297,"Q: Which word has more letters, ""give"" or ""daily""?
A:",daily,give
298,"Q: Which word has more letters, ""crowd"" or ""sing""?
A:",crowd,sing
299,"Q: Which word has more letters, ""storm"" or ""fish""?
A:",storm,fish
300,"Q: Which word has more letters, ""prize"" or ""chef""?
A:",prize,chef
301,"Q: Which word has more letters, ""those"" or ""country""?
A:",country,those
302,"Q: Which word has more letters, ""oh"" or ""white""?
A:",white,oh
303,"Q: Which word has more letters, ""her"" or ""lunch""?
A:",lunch,her
304,"Q: Which word has more letters, ""simple"" or ""size""?
A:",simple,size
305,"Q: Which word has more letters, ""guy"" or ""gram""?
A:",gram,guy
306,"Q: Which word has more letters, ""arm"" or ""give""?
A:",give,arm
307,"Q: Which word has more letters, ""print"" or ""ham""?
A:",print,ham
308,"Q: Which word has more letters, ""place"" or ""careful""?
A:",careful,place
309,"Q: Which word has more letters, ""discount"" or ""musical""?
A:",discount,musical
310,"Q: Which word has more letters, ""skate"" or ""soup""?
A:",skate,soup
311,"Q: Which word has more letters, ""oil"" or ""alone""?
A:",alone,oil
312,"Q: Which word has more letters, ""scarf"" or ""like""?
A:",scarf,like
313,"Q: Which word has more letters, ""along"" or ""fun""?
A:",along,fun
314,"Q: Which word has more letters, ""best"" or ""subject""?
A:",subject,best
315,"Q: Which word has more letters, ""mother"" or ""instead""?
A:",instead,mother
316,"Q: Which word has more letters, ""north"" or ""box""?
A:",north,box
317,"Q: Which word has more letters, ""safe"" or ""final""?
A:",final,safe
318,"Q: Which word has more letters, ""postcard"" or ""life""?
A:",postcard,life
319,"Q: Which word has more letters, ""windy"" or ""with""?
A:",windy,with
320,"Q: Which word has more letters, ""jump"" or ""clean""?
A:",clean,jump
321,"Q: Which word has more letters, ""chair"" or ""luck""?
A:",chair,luck
322,"Q: Which word has more letters, ""than"" or ""strange""?
A:",strange,than
323,"Q: Which word has more letters, ""over"" or ""painter""?
A:",painter,over
324,"Q: Which word has more letters, ""soap"" or ""space""?
A:",space,soap
325,"Q: Which word has more letters, ""us"" or ""file""?
A:",file,us
326,"Q: Which word has more letters, ""diary"" or ""king""?
A:",diary,king
327,"Q: Which word has more letters, ""buy"" or ""include""?
A:",include,buy
328,"Q: Which word has more letters, ""grape"" or ""kite""?
A:",grape,kite
329,"Q: Which word has more letters, ""birthday"" or ""part""?
A:",birthday,part
330,"Q: Which word has more letters, ""bird"" or ""myself""?
A:",myself,bird
331,"Q: Which word has more letters, ""mango"" or ""carpet""?
A:",carpet,mango
332,"Q: Which word has more letters, ""square"" or ""wear""?
A:",square,wear
333,"Q: Which word has more letters, ""month"" or ""idea""?
A:",month,idea
334,"Q: Which word has more letters, ""nearly"" or ""special""?
A:",special,nearly
335,"Q: Which word has more letters, ""my"" or ""minus""?
A:",minus,my
336,"Q: Which word has more letters, ""send"" or ""storm""?
A:",storm,send
337,"Q: Which word has more letters, ""clown"" or ""bike""?
A:",clown,bike
338,"Q: Which word has more letters, ""price"" or ""gas""?
A:",price,gas
339,"Q: Which word has more letters, ""enjoy"" or ""with""?
A:",enjoy,with
340,"Q: Which word has more letters, ""month"" or ""special""?
A:",special,month
341,"Q: Which word has more letters, ""normal"" or ""save""?
A:",normal,save
342,"Q: Which word has more letters, ""tired"" or ""belt""?
A:",tired,belt
343,"Q: Which word has more letters, ""mother"" or ""try""?
A:",mother,try
344,"Q: Which word has more letters, ""hit"" or ""plant""?
A:",plant,hit
345,"Q: Which word has more letters, ""air"" or ""cover""?
A:",cover,air
346,"Q: Which word has more letters, ""normal"" or ""empty""?
A:",normal,empty
347,"Q: Which word has more letters, ""simple"" or ""star""?
A:",simple,star
348,"Q: Which word has more letters, ""dry"" or ""both""?
A:",both,dry
349,"Q: Which word has more letters, ""just"" or ""things""?
A:",things,just
350,"Q: Which word has more letters, ""theirs"" or ""stay""?
A:",theirs,stay
351,"Q: Which word has more letters, ""husband"" or ""her""?
A:",husband,her
352,"Q: Which word has more letters, ""silver"" or ""meat""?
A:",silver,meat
353,"Q: Which word has more letters, ""platform"" or ""player""?
A:",platform,player
354,"Q: Which word has more letters, ""problem"" or ""dear""?
A:",problem,dear
355,"Q: Which word has more letters, ""mosque"" or ""table""?
A:",mosque,table
356,"Q: Which word has more letters, ""fan"" or ""picture""?
A:",picture,fan
357,"Q: Which word has more letters, ""sun"" or ""drawing""?
A:",drawing,sun
358,"Q: Which word has more letters, ""factory"" or ""girl""?
A:",factory,girl
359,"Q: Which word has more letters, ""cloud"" or ""past""?
A:",cloud,past
360,"Q: Which word has more letters, ""art"" or ""wind""?
A:",wind,art
361,"Q: Which word has more letters, ""they"" or ""poster""?
A:",poster,they
362,"Q: Which word has more letters, ""nice"" or ""lucky""?
A:",lucky,nice
363,"Q: Which word has more letters, ""often"" or ""hockey""?
A:",hockey,often
364,"Q: Which word has more letters, ""tram"" or ""racket""?
A:",racket,tram
365,"Q: Which word has more letters, ""guy"" or ""mouth""?
A:",mouth,guy
366,"Q: Which word has more letters, ""teach"" or ""lazy""?
A:",teach,lazy
367,"Q: Which word has more letters, ""hospital"" or ""closed""?
A:",hospital,closed
368,"Q: Which word has more letters, ""worse"" or ""minute""?
A:",minute,worse
369,"Q: Which word has more letters, ""daughter"" or ""only""?
A:",daughter,only
370,"Q: Which word has more letters, ""list"" or ""drive""?
A:",drive,list
371,"Q: Which word has more letters, ""company"" or ""birth""?
A:",company,birth
372,"Q: Which word has more letters, ""shout"" or ""bath""?
A:",shout,bath
373,"Q: Which word has more letters, ""mark"" or ""guide""?
A:",guide,mark
374,"Q: Which word has more letters, ""line"" or ""candy""?
A:",candy,line
375,"Q: Which word has more letters, ""past"" or ""closet""?
A:",closet,past
376,"Q: Which word has more letters, ""monkey"" or ""oh""?
A:",monkey,oh
377,"Q: Which word has more letters, ""keyboard"" or ""mark""?
A:",keyboard,mark
378,"Q: Which word has more letters, ""subway"" or ""reading""?
A:",reading,subway
379,"Q: Which word has more letters, ""adult"" or ""lie""?
A:",adult,lie
380,"Q: Which word has more letters, ""stove"" or ""friendly""?
A:",friendly,stove
381,"Q: Which word has more letters, ""around"" or ""house""?
A:",around,house
382,"Q: Which word has more letters, ""player"" or ""dance""?
A:",player,dance
383,"Q: Which word has more letters, ""racket"" or ""our""?
A:",racket,our
384,"Q: Which word has more letters, ""only"" or ""things""?
A:",things,only
385,"Q: Which word has more letters, ""minus"" or ""how""?
A:",minus,how
