question_id,prompt,correct_answer,distractor
74,"Q: Which word rhymes with the word ""rarely"", ""smoking"" or ""fairly""?
A:",fairly,smoking
75,"Q: Which word rhymes with the word ""daughter"", ""expert"" or ""water""?
A:",water,expert
76,"Q: Which word rhymes with the word ""dog"", ""blog"" or ""animated""?
A:",blog,animated
77,"Q: Which word rhymes with the word ""fly"", ""chocolate"" or ""nearby""?
A:",nearby,chocolate
78,"Q: Which word rhymes with the word ""unkind"", ""remind"" or ""plus""?
A:",remind,plus
79,"Q: Which word rhymes with the word ""spy"", ""try"" or ""frame""?
A:",try,frame
80,"Q: Which word rhymes with the word ""fax"", ""northwest"" or ""tax""?
A:",tax,northwest
81,"Q: Which word rhymes with the word ""pronounce"", ""clap"" or ""bounce""?
A:",bounce,clap
82,"Q: Which word rhymes with the word ""peak"", ""wool"" or ""cheek""?
A:",cheek,wool
83,"Q: Which word rhymes with the word ""career"", ""souvenir"" or ""walking""?
A:",souvenir,walking
84,"Q: Which word rhymes with the word ""year"", ""souvenir"" or ""rescue""?
A:",souvenir,rescue
85,"Q: Which word rhymes with the word ""stick"", ""steep"" or ""trick""?
A:",trick,steep
86,"Q: Which word rhymes with the word ""friend"", ""reservation"" or ""recommend""?
A:",recommend,reservation
87,"Q: Which word rhymes with the word ""cave"", ""voice"" or ""brave""?
A:",brave,voice
88,"Q: Which word rhymes with the word ""money"", ""iron"" or ""sunny""?
A:",sunny,iron
89,"Q: Which word rhymes with the word ""location"", ""station"" or ""visit""?
A:",station,visit
90,"Q: Which word rhymes with the word ""boy"", ""bathroom"" or ""destroy""?
A:",destroy,bathroom
91,"Q: Which word rhymes with the word ""sandy"", ""successful"" or ""candy""?
A:",candy,successful
92,"Q: Which word rhymes with the word ""take"", ""awake"" or ""anymore""?
A:",awake,anymore
93,"Q: Which word rhymes with the word ""drink"", ""kitchen"" or ""link""?
A:",link,kitchen
94,"Q: Which word rhymes with the word ""see"", ""clock"" or ""knee""?
A:",knee,clock
95,"Q: Which word rhymes with the word ""machine"", ""routine"" or ""novel""?
A:",routine,novel
96,"Q: Which word rhymes with the word ""birth"", ""earth"" or ""pray""?
A:",earth,pray
97,"Q: Which word rhymes with the word ""smile"", ""how"" or ""style""?
A:",style,how
98,"Q: Which word rhymes with the word ""foot"", ""put"" or ""election""?
A:",put,election
99,"Q: Which word rhymes with the word ""fountain"", ""mountain"" or ""ago""?
A:",mountain,ago
100,"Q: Which word rhymes with the word ""hit"", ""admit"" or ""coat""?
A:",admit,coat
101,"Q: Which word rhymes with the word ""fly"", ""fry"" or ""abroad""?
A:",fry,abroad
102,"Q: Which word rhymes with the word ""lie"", ""guy"" or ""underneath""?
A:",guy,underneath
103,"Q: Which word rhymes with the word ""main"", ""cycle"" or ""stain""?
A:",stain,cycle
104,"Q: Which word rhymes with the word ""knock"", ""clock"" or ""life""?
A:",clock,life
105,"Q: Which word rhymes with the word ""band"", ""shirt"" or ""demand""?
A:",demand,shirt
106,"Q: Which word rhymes with the word ""bridge"", ""fridge"" or ""irregular""?
A:",fridge,irregular
107,"Q: Which word rhymes with the word ""know"", ""so"" or ""hockey""?
A:",so,hockey
108,"Q: Which word rhymes with the word ""bake"", ""king"" or ""awake""?
A:",awake,king
109,"Q: Which word rhymes with the word ""pack"", ""attack"" or ""since""?
A:",attack,since
110,"Q: Which word rhymes with the word ""sneaker"", ""knife"" or ""speaker""?
A:",speaker,knife
111,"Q: Which word rhymes with the word ""breath"", ""death"" or ""cent""?
A:",death,cent
112,"Q: Which word rhymes with the word ""flood"", ""blood"" or ""shiny""?
A:",blood,shiny
113,"Q: Which word rhymes with the word ""attention"", ""bottom"" or ""invention""?
A:",invention,bottom
114,"Q: Which word rhymes with the word ""writer"", ""sit"" or ""lighter""?
A:",lighter,sit
115,"Q: Which word rhymes with the word ""asleep"", ""deep"" or ""foot""?
A:",deep,foot
116,"Q: Which word rhymes with the word ""blouse"", ""door"" or ""mouse""?
A:",mouse,door
117,"Q: Which word rhymes with the word ""rough"", ""stuff"" or ""basketball""?
A:",stuff,basketball
118,"Q: Which word rhymes with the word ""pray"", ""stay"" or ""cold""?
A:",stay,cold
119,"Q: Which word rhymes with the word ""key"", ""fee"" or ""sandy""?
A:",fee,sandy
120,"Q: Which word rhymes with the word ""flag"", ""action"" or ""bag""?
A:",bag,action
121,"Q: Which word rhymes with the word ""afraid"", ""buy"" or ""trade""?
A:",trade,buy
122,"Q: Which word rhymes with the word ""day"", ""way"" or ""owe""?
A:",way,owe
123,"Q: Which word rhymes with the word ""fur"", ""go"" or ""per""?
A:",per,go
124,"Q: Which word rhymes with the word ""situation"", ""generation"" or ""champagne""?
A:",generation,champagne
125,"Q: Which word rhymes with the word ""fax"", ""tax"" or ""busy""?
A:",tax,busy
126,"Q: Which word rhymes with the word ""crash"", ""trash"" or ""wear""?
A:",trash,wear
127,"Q: Which word rhymes with the word ""allow"", ""how"" or ""recent""?
A:",how,recent
128,"Q: Which word rhymes with the word ""maybe"", ""rare"" or ""baby""?
A:",baby,rare
129,"Q: Which word rhymes with the word ""run"", ""none"" or ""catch""?
A:",none,catch
130,"Q: Which word rhymes with the word ""shy"", ""apply"" or ""tiger""?
A:",apply,tiger
131,"Q: Which word rhymes with the word ""pile"", ""smile"" or ""creative""?
A:",smile,creative
132,"Q: Which word rhymes with the word ""snack"", ""parrot"" or ""unpack""?
A:",unpack,parrot
133,"Q: Which word rhymes with the word ""plug"", ""bug"" or ""bulb""?
A:",bug,bulb
134,"Q: Which word rhymes with the word ""need"", ""indeed"" or ""comfortable""?
A:",indeed,comfortable
135,"Q: Which word rhymes with the word ""silk"", ""nowadays"" or ""milk""?
A:",milk,nowadays
136,"Q: Which word rhymes with the word ""pray"", ""display"" or ""link""?
A:",display,link
137,"Q: Which word rhymes with the word ""profession"", ""farm"" or ""session""?
A:",session,farm
138,"Q: Which word rhymes with the word ""prince"", ""champion"" or ""convince""?
A:",convince,champion
139,"Q: Which word rhymes with the word ""room"", ""attention"" or ""perfume""?
A:",perfume,attention
140,"Q: Which word rhymes with the word ""bean"", ""scene"" or ""court""?
A:",scene,court
141,"Q: Which word rhymes with the word ""cover"", ""ambulance"" or ""lover""?
A:",lover,ambulance
142,"Q: Which word rhymes with the word ""station"", ""throw"" or ""immigration""?
A:",immigration,throw
143,"Q: Which word rhymes with the word ""sound"", ""round"" or ""might""?
A:",round,might
144,"Q: Which word rhymes with the word ""large"", ""charge"" or ""alive""?
A:",charge,alive
145,"Q: Which word rhymes with the word ""please"", ""cheese"" or ""slim""?
A:",cheese,slim
146,"Q: Which word rhymes with the word ""reason"", ""season"" or ""moment""?
A:",season,moment
147,"Q: Which word rhymes with the word ""money"", ""uncomfortable"" or ""sunny""?
A:",sunny,uncomfortable
148,"Q: Which word rhymes with the word ""hold"", ""both"" or ""fold""?
A:",fold,both
149,"Q: Which word rhymes with the word ""reason"", ""banana"" or ""season""?
A:",season,banana
150,"Q: Which word rhymes with the word ""long"", ""strong"" or ""press""?
A:",strong,press
151,"Q: Which word rhymes with the word ""bye"", ""strong"" or ""eye""?
A:",eye,strong
152,"Q: Which word rhymes with the word ""defend"", ""friend"" or ""brush""?
A:",friend,brush
153,"Q: Which word rhymes with the word ""worse"", ""unfriendly"" or ""purse""?
A:",purse,unfriendly
154,"Q: Which word rhymes with the word ""from"", ""airplane"" or ""sum""?
A:",sum,airplane
155,"Q: Which word rhymes with the word ""defeat"", ""meet"" or ""messy""?
A:",meet,messy
156,"Q: Which word rhymes with the word ""transportation"", ""daughter"" or ""imagination""?
A:",imagination,daughter
157,"Q: Which word rhymes with the word ""cancer"", ""answer"" or ""pupil""?
A:",answer,pupil
158,"Q: Which word rhymes with the word ""invent"", ""wear"" or ""tent""?
A:",tent,wear
159,"Q: Which word rhymes with the word ""star"", ""far"" or ""lend""?
A:",far,lend
160,"Q: Which word rhymes with the word ""deliver"", ""river"" or ""meal""?
A:",river,meal
161,"Q: Which word rhymes with the word ""announce"", ""serious"" or ""pronounce""?
A:",pronounce,serious
162,"Q: Which word rhymes with the word ""answer"", ""bug"" or ""dancer""?
A:",dancer,bug
163,"Q: Which word rhymes with the word ""politely"", ""remind"" or ""lightly""?
A:",lightly,remind
164,"Q: Which word rhymes with the word ""send"", ""otherwise"" or ""intend""?
A:",intend,otherwise
165,"Q: Which word rhymes with the word ""himself"", ""myself"" or ""accident""?
A:",myself,accident
166,"Q: Which word rhymes with the word ""shiny"", ""burning"" or ""tiny""?
A:",tiny,burning
167,"Q: Which word rhymes with the word ""climb"", ""neighborhood"" or ""time""?
A:",time,neighborhood
168,"Q: Which word rhymes with the word ""candy"", ""kitchen"" or ""sandy""?
A:",sandy,kitchen
169,"Q: Which word rhymes with the word ""room"", ""summer"" or ""perfume""?
A:",perfume,summer
170,"Q: Which word rhymes with the word ""about"", ""pineapple"" or ""shout""?
A:",shout,pineapple
171,"Q: Which word rhymes with the word ""hall"", ""wall"" or ""scream""?
A:",wall,scream
172,"Q: Which word rhymes with the word ""spy"", ""tie"" or ""full""?
A:",tie,full
173,"Q: Which word rhymes with the word ""mountain"", ""probably"" or ""fountain""?
A:",fountain,probably
174,"Q: Which word rhymes with the word ""forever"", ""never"" or ""dish""?
A:",never,dish
175,"Q: Which word rhymes with the word ""funny"", ""money"" or ""sport""?
A:",money,sport
176,"Q: Which word rhymes with the word ""fast"", ""past"" or ""east""?
A:",past,east
177,"Q: Which word rhymes with the word ""folk"", ""video"" or ""joke""?
A:",joke,video
178,"Q: Which word rhymes with the word ""dance"", ""past"" or ""chance""?
A:",chance,past
179,"Q: Which word rhymes with the word ""lake"", ""brake"" or ""hit""?
A:",brake,hit
180,"Q: Which word rhymes with the word ""goat"", ""note"" or ""punctuation""?
A:",note,punctuation
181,"Q: Which word rhymes with the word ""each"", ""store"" or ""speech""?
A:",speech,store
182,"Q: Which word rhymes with the word ""screen"", ""clean"" or ""theirs""?
A:",clean,theirs
183,"Q: Which word rhymes with the word ""warn"", ""corn"" or ""uncle""?
A:",corn,uncle
184,"Q: Which word rhymes with the word ""rent"", ""tent"" or ""man""?
A:",tent,man
185,"Q: Which word rhymes with the word ""then"", ""pen"" or ""death""?
A:",pen,death
186,"Q: Which word rhymes with the word ""lie"", ""bring"" or ""fly""?
A:",fly,bring
187,"Q: Which word rhymes with the word ""stone"", ""commercial"" or ""bone""?
A:",bone,commercial
188,"Q: Which word rhymes with the word ""squash"", ""thunder"" or ""wash""?
A:",wash,thunder
189,"Q: Which word rhymes with the word ""heater"", ""meter"" or ""benefit""?
A:",meter,benefit
190,"Q: Which word rhymes with the word ""pretty"", ""city"" or ""glove""?
A:",city,glove
191,"Q: Which word rhymes with the word ""bay"", ""advanced"" or ""away""?
A:",away,advanced
192,"Q: Which word rhymes with the word ""nearby"", ""dry"" or ""bat""?
A:",dry,bat
193,"Q: Which word rhymes with the word ""bad"", ""central"" or ""add""?
A:",add,central
194,"Q: Which word rhymes with the word ""clown"", ""downtown"" or ""fat""?
A:",downtown,fat
195,"Q: Which word rhymes with the word ""chain"", ""explain"" or ""folder""?
A:",explain,folder
196,"Q: Which word rhymes with the word ""free"", ""knee"" or ""stuff""?
A:",knee,stuff
197,"Q: Which word rhymes with the word ""plan"", ""television"" or ""pan""?
A:",pan,television
198,"Q: Which word rhymes with the word ""connection"", ""correction"" or ""partly""?
A:",correction,partly
199,"Q: Which word rhymes with the word ""flu"", ""full"" or ""view""?
A:",view,full
200,"Q: Which word rhymes with the word ""shoulder"", ""folder"" or ""think""?
A:",folder,think
201,"Q: Which word rhymes with the word ""save"", ""cave"" or ""madam""?
A:",cave,madam
202,"Q: Which word rhymes with the word ""greeting"", ""meeting"" or ""balcony""?
A:",meeting,balcony
203,"Q: Which word rhymes with the word ""blood"", ""flood"" or ""cliff""?
A:",flood,cliff
204,"Q: Which word rhymes with the word ""rule"", ""stadium"" or ""cool""?
A:",cool,stadium
205,"Q: Which word rhymes with the word ""lonely"", ""only"" or ""photographer""?
A:",only,photographer
206,"Q: Which word rhymes with the word ""fruit"", ""argue"" or ""flute""?
A:",flute,argue
207,"Q: Which word rhymes with the word ""waste"", ""phrase"" or ""taste""?
A:",taste,phrase
208,"Q: Which word rhymes with the word ""mile"", ""style"" or ""gram""?
A:",style,gram
209,"Q: Which word rhymes with the word ""immigration"", ""wide"" or ""relation""?
A:",relation,wide
210,"Q: Which word rhymes with the word ""beef"", ""leaf"" or ""bat""?
A:",leaf,bat
211,"Q: Which word rhymes with the word ""could"", ""should"" or ""annoyed""?
A:",should,annoyed
212,"Q: Which word rhymes with the word ""population"", ""explanation"" or ""diagram""?
A:",explanation,diagram
213,"Q: Which word rhymes with the word ""smell"", ""level"" or ""bell""?
A:",bell,level
214,"Q: Which word rhymes with the word ""peach"", ""much"" or ""speech""?
A:",speech,much
215,"Q: Which word rhymes with the word ""word"", ""bird"" or ""fee""?
A:",bird,fee
216,"Q: Which word rhymes with the word ""fruit"", ""bug"" or ""boot""?
A:",boot,bug
217,"Q: Which word rhymes with the word ""wild"", ""child"" or ""store""?
A:",child,store
218,"Q: Which word rhymes with the word ""house"", ""blouse"" or ""difficult""?
A:",blouse,difficult
219,"Q: Which word rhymes with the word ""nearly"", ""clearly"" or ""engineer""?
A:",clearly,engineer
220,"Q: Which word rhymes with the word ""fail"", ""consonant"" or ""jail""?
A:",jail,consonant
221,"Q: Which word rhymes with the word ""milk"", ""silk"" or ""spicy""?
A:",silk,spicy
222,"Q: Which word rhymes with the word ""killer"", ""curtain"" or ""thriller""?
A:",thriller,curtain
223,"Q: Which word rhymes with the word ""select"", ""open"" or ""collect""?
A:",collect,open
224,"Q: Which word rhymes with the word ""fruit"", ""sociable"" or ""flute""?
A:",flute,sociable
225,"Q: Which word rhymes with the word ""nearly"", ""clearly"" or ""negative""?
A:",clearly,negative
226,"Q: Which word rhymes with the word ""chance"", ""dance"" or ""mile""?
A:",dance,mile
227,"Q: Which word rhymes with the word ""involve"", ""solve"" or ""fever""?
A:",solve,fever
228,"Q: Which word rhymes with the word ""city"", ""happen"" or ""pretty""?
A:",pretty,happen
229,"Q: Which word rhymes with the word ""float"", ""armchair"" or ""boat""?
A:",boat,armchair
230,"Q: Which word rhymes with the word ""grade"", ""shade"" or ""honeymoon""?
A:",shade,honeymoon
231,"Q: Which word rhymes with the word ""weigh"", ""honest"" or ""bay""?
A:",bay,honest
232,"Q: Which word rhymes with the word ""lighter"", ""swimmer"" or ""writer""?
A:",writer,swimmer
233,"Q: Which word rhymes with the word ""correction"", ""collection"" or ""second""?
A:",collection,second
234,"Q: Which word rhymes with the word ""less"", ""tall"" or ""stress""?
A:",stress,tall
235,"Q: Which word rhymes with the word ""wine"", ""instrument"" or ""sign""?
A:",sign,instrument
236,"Q: Which word rhymes with the word ""cross"", ""sauce"" or ""clever""?
A:",sauce,clever
237,"Q: Which word rhymes with the word ""cage"", ""fancy"" or ""stage""?
A:",stage,fancy
238,"Q: Which word rhymes with the word ""clean"", ""percent"" or ""queen""?
A:",queen,percent
239,"Q: Which word rhymes with the word ""thick"", ""sick"" or ""blood""?
A:",sick,blood
240,"Q: Which word rhymes with the word ""disease"", ""please"" or ""course""?
A:",please,course
241,"Q: Which word rhymes with the word ""stick"", ""kick"" or ""trade""?
A:",kick,trade
242,"Q: Which word rhymes with the word ""bored"", ""screen"" or ""board""?
A:",board,screen
243,"Q: Which word rhymes with the word ""lemonade"", ""shade"" or ""fork""?
A:",shade,fork
244,"Q: Which word rhymes with the word ""stall"", ""mushroom"" or ""baseball""?
A:",baseball,mushroom
245,"Q: Which word rhymes with the word ""wall"", ""till"" or ""tall""?
A:",tall,till
246,"Q: Which word rhymes with the word ""hide"", ""wide"" or ""restroom""?
A:",wide,restroom
247,"Q: Which word rhymes with the word ""spend"", ""lend"" or ""lightning""?
A:",lend,lightning
248,"Q: Which word rhymes with the word ""breath"", ""death"" or ""large""?
A:",death,large
249,"Q: Which word rhymes with the word ""shelf"", ""itself"" or ""clearly""?
A:",itself,clearly
250,"Q: Which word rhymes with the word ""stranger"", ""boat"" or ""danger""?
A:",danger,boat
251,"Q: Which word rhymes with the word ""tree"", ""me"" or ""restroom""?
A:",me,restroom
252,"Q: Which word rhymes with the word ""amusing"", ""confusing"" or ""frog""?
A:",confusing,frog
253,"Q: Which word rhymes with the word ""bag"", ""flag"" or ""northern""?
A:",flag,northern
254,"Q: Which word rhymes with the word ""disagree"", ""pet"" or ""pea""?
A:",pea,pet
255,"Q: Which word rhymes with the word ""house"", ""mouse"" or ""fight""?
A:",mouse,fight
256,"Q: Which word rhymes with the word ""insist"", ""exist"" or ""skating""?
A:",exist,skating
257,"Q: Which word rhymes with the word ""compete"", ""eat"" or ""beginning""?
A:",eat,beginning
258,"Q: Which word rhymes with the word ""bounce"", ""sunny"" or ""pronounce""?
A:",pronounce,sunny
259,"Q: Which word rhymes with the word ""leather"", ""waterfall"" or ""weather""?
A:",weather,waterfall
260,"Q: Which word rhymes with the word ""neck"", ""annoyed"" or ""check""?
A:",check,annoyed
261,"Q: Which word rhymes with the word ""pump"", ""platform"" or ""jump""?
A:",jump,platform
262,"Q: Which word rhymes with the word ""sauce"", ""cross"" or ""disease""?
A:",cross,disease
263,"Q: Which word rhymes with the word ""guess"", ""chess"" or ""explain""?
A:",chess,explain
264,"Q: Which word rhymes with the word ""heater"", ""reader"" or ""meter""?
A:",meter,reader
265,"Q: Which word rhymes with the word ""prescription"", ""description"" or ""danger""?
A:",description,danger
266,"Q: Which word rhymes with the word ""join"", ""coin"" or ""disappoint""?
A:",coin,disappoint
267,"Q: Which word rhymes with the word ""believe"", ""achieve"" or ""ski""?
A:",achieve,ski
268,"Q: Which word rhymes with the word ""plastic"", ""gray"" or ""fantastic""?
A:",fantastic,gray
269,"Q: Which word rhymes with the word ""bell"", ""hotel"" or ""thunder""?
A:",hotel,thunder
270,"Q: Which word rhymes with the word ""exist"", ""prepared"" or ""list""?
A:",list,prepared
271,"Q: Which word rhymes with the word ""cruise"", ""choose"" or ""campsite""?
A:",choose,campsite
272,"Q: Which word rhymes with the word ""reader"", ""defeat"" or ""leader""?
A:",leader,defeat
273,"Q: Which word rhymes with the word ""queen"", ""bean"" or ""succeed""?
A:",bean,succeed
274,"Q: Which word rhymes with the word ""suggest"", ""regularly"" or ""stressed""?
A:",stressed,regularly
275,"Q: Which word rhymes with the word ""cancer"", ""answer"" or ""still""?
A:",answer,still
276,"Q: Which word rhymes with the word ""pollution"", ""solution"" or ""butcher""?
A:",solution,butcher
277,"Q: Which word rhymes with the word ""burn"", ""hair"" or ""learn""?
A:",learn,hair
278,"Q: Which word rhymes with the word ""compete"", ""find"" or ""beat""?
A:",beat,find
279,"Q: Which word rhymes with the word ""sick"", ""trick"" or ""behavior""?
A:",trick,behavior
280,"Q: Which word rhymes with the word ""photography"", ""side"" or ""biography""?
A:",biography,side
281,"Q: Which word rhymes with the word ""house"", ""mouse"" or ""monkey""?
A:",mouse,monkey
282,"Q: Which word rhymes with the word ""bath"", ""path"" or ""perfume""?
A:",path,perfume
283,"Q: Which word rhymes with the word ""generation"", ""presentation"" or ""confident""?
A:",presentation,confident
284,"Q: Which word rhymes with the word ""kite"", ""airport"" or ""site""?
A:",site,airport
285,"Q: Which word rhymes with the word ""chair"", ""compare"" or ""leather""?
A:",compare,leather
286,"Q: Which word rhymes with the word ""hide"", ""invite"" or ""decide""?
A:",decide,invite
287,"Q: Which word rhymes with the word ""pump"", ""jump"" or ""elbow""?
A:",jump,elbow
288,"Q: Which word rhymes with the word ""doubt"", ""border"" or ""shout""?
A:",shout,border
289,"Q: Which word rhymes with the word ""water"", ""positive"" or ""daughter""?
A:",daughter,positive
290,"Q: Which word rhymes with the word ""table"", ""altogether"" or ""label""?
A:",label,altogether
291,"Q: Which word rhymes with the word ""prove"", ""remove"" or ""arrest""?
A:",remove,arrest
292,"Q: Which word rhymes with the word ""registration"", ""warning"" or ""transportation""?
A:",transportation,warning
293,"Q: Which word rhymes with the word ""guy"", ""fashion"" or ""lie""?
A:",lie,fashion
294,"Q: Which word rhymes with the word ""piece"", ""police"" or ""score""?
A:",police,score
295,"Q: Which word rhymes with the word ""worst"", ""cliff"" or ""first""?
A:",first,cliff
296,"Q: Which word rhymes with the word ""type"", ""lose"" or ""pipe""?
A:",pipe,lose
297,"Q: Which word rhymes with the word ""city"", ""beginner"" or ""pretty""?
A:",pretty,beginner
298,"Q: Which word rhymes with the word ""screen"", ""blow"" or ""mean""?
A:",mean,blow
299,"Q: Which word rhymes with the word ""never"", ""clever"" or ""site""?
A:",clever,site
300,"Q: Which word rhymes with the word ""bury"", ""stick"" or ""scary""?
A:",scary,stick
301,"Q: Which word rhymes with the word ""zone"", ""slow"" or ""stone""?
A:",stone,slow
302,"Q: Which word rhymes with the word ""how"", ""let"" or ""allow""?
A:",allow,let
303,"Q: Which word rhymes with the word ""mix"", ""icy"" or ""fix""?
A:",fix,icy
304,"Q: Which word rhymes with the word ""bring"", ""canal"" or ""king""?
A:",king,canal
305,"Q: Which word rhymes with the word ""guest"", ""worker"" or ""dressed""?
A:",dressed,worker
