question_id,perturbation_id,prompt,correct_answer,distractor,correct
15,7,"Which word comes first in alphabetical order - ""morning"" or ""ship""?",morning,ship,0.0
15,30,"Arrange the words ""ship"" and ""morning"" in alphabetical order and provide the word that comes first.",morning,ship,1.0
15,43,"Which of the two words, ""morning"" and ""ship"", comes first when arranged in alphabetical order?",morning,ship,1.0
15,54,"Which of the words ""morning"" and ""ship"" comes first alphabetically?",morning,ship,0.7
15,59,"Which word would come first if you sorted ""ship"" and ""morning"" in alphabetical order?",morning,ship,1.0
15,60,"Determine which of the words ""ship"" and ""morning"" comes first when arranged in alphabetical order.",morning,ship,0.55
15,80,"For which word comes first when ordered alphabetically out of ""morning"" and ""ship"", which could it be?",morning,ship,1.0
15,84,"Which word comes first in alphabetical order - ""ship"" or ""morning""?",morning,ship,0.0
15,91,"If ""ship"" and ""morning"" were to be ordered alphabetically, which one comes first?",morning,ship,1.0
15,92,"Which one precedes the other in alphabetical order: ""ship"" or ""morning""?",morning,ship,0.95
15,106,"Which word comes first in alphabetical order, ""morning"" or ""ship""?",morning,ship,0.0
15,128,"Which word comes before the other, ""ship"" or ""morning"", in alphabetical order?",morning,ship,0.0
15,153,"Which of the words ""ship"" and ""morning"" is alphabetically first?",morning,ship,0.0
15,159,"Which word comes earlier in alphabetical order, ""ship"" or ""morning""?",morning,ship,0.0
15,162,"Which word comes first in alphabetical order, ""morning"" or ""ship""?",morning,ship,0.0
15,167,"Which word is listed first in alphabetical order, ""morning"" or ""ship""?",morning,ship,0.0
15,182,"Determine which of two given words comes earlier in alphabetical order.
Word 1: ""ship""
Word 2: ""morning""
Output:",morning,ship,0.4
15,193,"Please write a program that takes two words as input and determines which one comes first in alphabetical order.
Word 1: ""morning""
Word 2: ""ship""
Output:",morning,ship,1.0
15,202,"Write a program that determines which of two given words comes first in alphabetical order. Your program should take two words as input and output the word that comes first in alphabetical order.
Word 1: ""ship""
Word 2: ""morning""
Output word:",morning,ship,1.0
15,216,"Write a program that compares two words and outputs which one comes first alphabetically.
Word 1: ""ship""
Word 2: ""morning""
Output:",morning,ship,1.0
30,22,"Which word between ""ago"" and ""all"" comes first in alphabetical order?",ago,all,0.1
30,30,"Arrange the words ""ago"" and ""all"" in alphabetical order and provide the word that comes first.",ago,all,1.0
30,42,"Which of the following words, ""all"" or ""ago"", comes first in alphabetical order?",ago,all,1.0
30,49,"Please determine which of the two words, ""ago"" or ""all"", is sorted first in alphabetical order.",ago,all,1.0
30,69,"Out of ""ago"" and ""all"", which word would come first if you were to list them in alphabetical order?",ago,all,1.0
30,81,"""ago"" and ""all"" are the words being compared, please compare to determine the first alphabetically.",ago,all,1.0
30,85,"Compare the words ""ago"" and ""all"" and identify which one appears earlier in alphabetical order.",ago,all,1.0
30,130,"Determine which word comes first in alphabetical order between ""ago"" and ""all""",ago,all,1.0
30,134,"Please determine which of the following words comes first alphabetically: ""all"" or ""ago"".",ago,all,1.0
30,137,"Which word comes first alphabetically, ""all"" or ""ago""?",ago,all,0.15
30,142,"In alphabetical order, which word precedes the other, ""ago"" or ""all""?",ago,all,1.0
30,153,"Which of the words ""ago"" and ""all"" is alphabetically first?",ago,all,0.75
30,157,"Which word is listed first in the dictionary, ""all"" or ""ago""?",ago,all,0.6
30,180,"Please determine which word comes first in the alphabet between two given words.
Word 1: ""ago""
Word 2: ""all""
Output:",ago,all,0.0
30,190,"Please determine which of the two given words comes first in alphabetical order.
Word 1: ""ago""
Word 2: ""all""
Output:",ago,all,1.0
30,201,"Which comes first, ""all"" or ""ago""?
Output:",ago,all,1.0
30,203,"Write a sentence that includes two words and ask GPT-3 to determine which word comes first in alphabetical order.
Words: ""all"" and ""ago""
Output:",ago,all,1.0
30,222,"Write a program that takes two words as input and outputs which word comes first in alphabetical order.
Word 1: ""ago""
Word 2: ""all""
Output:",ago,all,1.0
30,223,"Write a program that compares two words and outputs the one that comes first in alphabetical order.
Word 1: ""ago""
Word 2: ""all""
Output word:",ago,all,1.0
30,233,"Write a program that compares two words and outputs which one comes first in alphabetical order.
Word 1: ""all""
Word 2: ""ago""
Output: The word that comes first in alphabetical order is",ago,all,1.0
31,2,"Q: Of the words ""hate"" and ""cake"", which word comes first alphabetically?
A:",cake,hate,1.0
31,13,"Which word appears first in alphabetical order between ""hate"" and ""cake""?",cake,hate,0.65
31,26,"Which of the two words, ""hate"" and ""cake"", comes first in alphabetical order?",cake,hate,1.0
31,31,"What is the alphabetical order of the words ""cake"" and ""hate""?",cake,hate,1.0
31,32,"""Please determine the word that comes first in alphabetical order between ""hate"" and ""cake"".",cake,hate,0.05
31,41,"Which word would come first in alphabetical order: ""hate"" or ""cake""?",cake,hate,1.0
31,59,"Which word would come first if you sorted ""hate"" and ""cake"" in alphabetical order?",cake,hate,1.0
31,60,"Determine which of the words ""cake"" and ""hate"" comes first when arranged in alphabetical order.",cake,hate,0.9
31,64,"Of the words ""hate"" and ""cake"", which one comes first alphabetically?",cake,hate,1.0
31,116,"Please determine which of the two words, ""cake"" and ""hate"", is alphabetically first.",cake,hate,1.0
31,124,"Which word precedes the other in alphabetical order, ""hate"" or ""cake""?",cake,hate,0.0
31,151,Determine the alphabetical order of 'cake' and 'hate' and identify which comes first.,cake,hate,0.0
31,172,"Please determine which of the following two words comes first in alphabetical order: ""hate"" or ""cake"".
The word that comes first in alphabetical order is:",cake,hate,1.0
31,177,"Please determine which word comes first alphabetically out of the two given words.
Word 1: ""cake""
Word 2: ""hate""
Output:",cake,hate,1.0
31,189,"Given two words, determine which one comes first alphabetically.
Word 1: ""hate""
Word 2: ""cake""
Output:",cake,hate,1.0
31,204,"Given two words, determine which one comes first alphabetically.
Word 1: ""cake""
Word 2: ""hate""
Output word:",cake,hate,1.0
31,206,"Please provide the word that comes first alphabetically out of two given words.
Word 1: ""cake""
Word 2: ""hate""
Output word:",cake,hate,0.25
31,209,"Given two words, determine which one comes earlier in alphabetical order.
Word 1: ""hate""
Word 2: ""cake""
Output:",cake,hate,0.75
31,216,"Write a program that compares two words and outputs which one comes first alphabetically.
Word 1: ""hate""
Word 2: ""cake""
Output:",cake,hate,1.0
31,218,"Write a program that compares two words and returns the one that comes first when sorted alphabetically. Your program should take two words as input and output the word that comes first.
Word 1: ""hate""
Word 2: ""cake""
Output word:",cake,hate,1.0
33,4,"Which word comes first in alphabetical order, ""opera"" or ""meeting""?",meeting,opera,1.0
33,50,"Which word comes first in alphabetical order: ""meeting"" or ""opera""?",meeting,opera,0.6
33,54,"Which of the words ""meeting"" and ""opera"" comes first alphabetically?",meeting,opera,0.45
33,78,"Order ""opera"" and ""meeting"" alphabetically then select the first one.",meeting,opera,0.0
33,100,"Please provide the word that comes first alphabetically between ""opera"" and ""meeting"".",meeting,opera,1.0
33,108,"Please specify which of the words ""opera"" and ""meeting"" appears first in alphabetical order.",meeting,opera,1.0
33,117,"Which of the two words, ""opera"" and ""meeting"", comes first when arranged in alphabetical order?",meeting,opera,1.0
33,120,"Which word comes first in alphabetical order, ""meeting"" or ""opera""?",meeting,opera,1.0
33,128,"Which word comes before the other, ""opera"" or ""meeting"", in alphabetical order?",meeting,opera,1.0
33,132,"If we were to arrange ""opera"" and ""meeting"" in alphabetical order, which one would come first?",meeting,opera,1.0
33,134,"Please determine which of the following words comes first alphabetically: ""opera"" or ""meeting"".",meeting,opera,1.0
33,139,"Please determine which of the words, ""meeting"" and ""opera"", comes first in alphabetical order.",meeting,opera,1.0
33,142,"In alphabetical order, which word precedes the other, ""opera"" or ""meeting""?",meeting,opera,1.0
33,148,"Out of the words ""meeting"" and ""opera"", which one comes first in alphabetical order?",meeting,opera,1.0
33,178,"Given two words, determine which word comes first alphabetically.
Word 1: ""opera""
Word 2: ""meeting""
Output:",meeting,opera,0.15
33,200,"Please write a program that takes two words as input and determines which word comes first in alphabetical order.
Word 1: ""meeting""
Word 2: ""opera""
Output:",meeting,opera,1.0
33,211,"Write a sentence that compares two words and indicates which one comes first in the alphabet.
Word 1: ""meeting""
Word 2: ""opera""
Sentence:",meeting,opera,1.0
33,212,"Given two words, determine which one comes first in alphabetical order.
Word 1: ""meeting""
Word 2: ""opera""
Output:",meeting,opera,1.0
33,217,"Write a program that determines which of two given words comes first alphabetically. Your program should take two words as input and output the word that comes first.
Word 1: ""opera""
Word 2: ""meeting""
Output:",meeting,opera,1.0
33,230,"Compare two words and determine which one comes first in alphabetical order.
Word 1: ""opera""
Word 2: ""meeting""
Output:",meeting,opera,0.3
44,8,"Rewritten prompt: ""Which word between ""sausage"" and ""gas"" appears first when arranged in alphabetical order?""",gas,sausage,0.9
44,44,"""Please provide the alphabetical order of ""sausage"" and ""gas"".",gas,sausage,0.0
44,50,"Which word comes first in alphabetical order: ""sausage"" or ""gas""?",gas,sausage,1.0
44,51,"Which of the words ""gas"" and ""sausage"" comes first in alphabetical order?",gas,sausage,1.0
44,57,"Arrange ""gas"" and ""sausage"" in alphabetical order and tell me which one comes first.",gas,sausage,1.0
44,60,"Determine which of the words ""gas"" and ""sausage"" comes first when arranged in alphabetical order.",gas,sausage,1.0
44,64,"Of the words ""sausage"" and ""gas"", which one comes first alphabetically?",gas,sausage,0.9
44,121,"Which word is alphabetically first, ""sausage"" or ""gas""?",gas,sausage,0.0
44,132,"If we were to arrange ""gas"" and ""sausage"" in alphabetical order, which one would come first?",gas,sausage,1.0
44,143,"Please compare the two words, ""gas"" and ""sausage"", and determine which one comes first alphabetically.",gas,sausage,0.35
44,144,"Which of the words, ""sausage"" and ""gas"", is listed first in alphabetical order?",gas,sausage,0.0
44,151,Determine the alphabetical order of 'gas' and 'sausage' and identify which comes first.,gas,sausage,1.0
44,182,"Determine which of two given words comes earlier in alphabetical order.
Word 1: ""gas""
Word 2: ""sausage""
Output:",gas,sausage,1.0
44,184,"Please determine the alphabetical order of two given words.
Word 1: ""sausage""
Word 2: ""gas""
The alphabetical order is:",gas,sausage,0.1
44,195,"Given two words, determine which comes first alphabetically.
Word 1: ""sausage""
Word 2: ""gas""
Output:",gas,sausage,1.0
44,200,"Please write a program that takes two words as input and determines which word comes first in alphabetical order.
Word 1: ""gas""
Word 2: ""sausage""
Output:",gas,sausage,0.0
44,213,"Write a sentence that compares two words and determines which one comes first in alphabetical order.
Compare the words ""sausage"" and ""gas"".
Sentence:",gas,sausage,0.9
44,221,"Write a program that compares two words and determines which one comes first in alphabetical order. Your program should return the word that comes first.
Word 1: ""sausage""
Word 2: ""gas""
Output word:",gas,sausage,1.0
44,229,"Write a program that compares two words and outputs which one comes first alphabetically. The words to be compared are denoted by placeholders ""gas"" and ""sausage"".
word1: ""gas""
word2: ""sausage""
Output:",gas,sausage,1.0
44,233,"Write a program that compares two words and outputs which one comes first in alphabetical order.
Word 1: ""gas""
Word 2: ""sausage""
Output: The word that comes first in alphabetical order is",gas,sausage,1.0
45,0,"Q: In an alphabetical order, which of the words ""in"" and ""oh"" comes first?
A:",in,oh,1.0
45,40,"What is the alphabetical order of ""in"" and ""oh""?",in,oh,0.0
45,54,"Which of the words ""oh"" and ""in"" comes first alphabetically?",in,oh,0.0
45,65,"Which word between ""oh"" and ""in"" appears first in alphabetical order?",in,oh,0.0
45,82,"Which word appears first alphabetically between ""in"" and ""oh""?",in,oh,0.0
45,84,"Which word comes first in alphabetical order - ""in"" or ""oh""?",in,oh,0.0
45,110,"Please determine which of the words ""oh"" and ""in"" comes first in alphabetical order using your rich and sophisticated vocabulary.",in,oh,0.0
45,115,"Out of ""oh"" and ""in"", which word would appear first in alphabetical order?",in,oh,0.0
45,116,"Please determine which of the two words, ""oh"" and ""in"", is alphabetically first.",in,oh,0.0
45,118,"In alphabetical order, which word between ""oh"" and ""in"" appears first?",in,oh,0.0
45,135,"Which of the words ""in"" and ""oh"" is first alphabetically?",in,oh,1.0
45,143,"Please compare the two words, ""oh"" and ""in"", and determine which one comes first alphabetically.",in,oh,0.05
45,146,"Please determine the alphabetical order of the words ""in"" and ""oh"", and identify which one comes first.",in,oh,1.0
45,173,"Please determine which word comes first in alphabetical order between the two given words.
Word 1: ""in""
Word 2: ""oh""
Output:",in,oh,0.05
45,177,"Please determine which word comes first alphabetically out of the two given words.
Word 1: ""in""
Word 2: ""oh""
Output:",in,oh,0.0
45,178,"Given two words, determine which word comes first alphabetically.
Word 1: ""oh""
Word 2: ""in""
Output:",in,oh,0.5
45,202,"Write a program that determines which of two given words comes first in alphabetical order. Your program should take two words as input and output the word that comes first in alphabetical order.
Word 1: ""in""
Word 2: ""oh""
Output word:",in,oh,1.0
45,206,"Please provide the word that comes first alphabetically out of two given words.
Word 1: ""oh""
Word 2: ""in""
Output word:",in,oh,1.0
45,219,"Write a program that compares two words and outputs which one comes first when sorted alphabetically.
word1: ""oh""
word2: ""in""
Output:",in,oh,0.0
45,227,"Compare two words alphabetically and determine which one comes first.
Word 1: ""in""
Word 2: ""oh""
Output:",in,oh,1.0
46,14,"What is the first word in alphabetical order between ""mirror"" and ""lucky""?",lucky,mirror,1.0
46,21,"Which of the two words, ""mirror"" and ""lucky"", is the first in alphabetical order?",lucky,mirror,0.0
46,29,"Please determine the position of ""mirror"" and ""lucky"" in alphabetical order.",lucky,mirror,0.0
46,31,"What is the alphabetical order of the words ""lucky"" and ""mirror""?",lucky,mirror,0.0
46,33,Arrange the words 'lucky' and 'mirror' in alphabetical order and provide the word that comes first.,lucky,mirror,1.0
46,47,"Which word, ""mirror"" or ""lucky"", comes first in alphabetical order?",lucky,mirror,0.0
46,54,"Which of the words ""mirror"" and ""lucky"" comes first alphabetically?",lucky,mirror,1.0
46,69,"Out of ""mirror"" and ""lucky"", which word would come first if you were to list them in alphabetical order?",lucky,mirror,0.65
46,71,"Given the words ""lucky"" and ""mirror"", which comes first alphabetically?",lucky,mirror,0.45
46,88,"Sort ""lucky"" and ""mirror"" in alphabetical order, and tell me which one comes first?",lucky,mirror,0.75
46,99,"Given the words ""mirror"" and ""lucky"", in what sequence do they appear when ordered in alphabetical order? Which word precedes the other?",lucky,mirror,0.0
46,104,"Which of the words ""lucky"" and ""mirror"" comes first in alphabetical order?",lucky,mirror,0.45
46,111,"Which word comes first alphabetically, ""lucky"" or ""mirror""? Please provide your answer using your extensive lexicon.",lucky,mirror,0.95
46,113,"Please indicate which of the two words, ""lucky"" and ""mirror"", comes first in alphabetical order.",lucky,mirror,1.0
46,115,"Out of ""mirror"" and ""lucky"", which word would appear first in alphabetical order?",lucky,mirror,0.45
46,138,"Determine the alphabetical order of ""lucky"" and ""mirror"" and tell me which one comes first.",lucky,mirror,1.0
46,149,"According to alphabetical order, which word comes first between 'mirror' and 'lucky'?",lucky,mirror,0.15
46,156,"Which word precedes the other in alphabetical order, ""mirror"" or ""lucky""?",lucky,mirror,1.0
46,178,"Given two words, determine which word comes first alphabetically.
Word 1: ""lucky""
Word 2: ""mirror""
Output:",lucky,mirror,0.0
46,227,"Compare two words alphabetically and determine which one comes first.
Word 1: ""mirror""
Word 2: ""lucky""
Output:",lucky,mirror,0.0
52,13,"Which word appears first in alphabetical order between ""card"" and ""toilet""?",card,toilet,1.0
52,23,"Which of the two words ""toilet"" and ""card"" is listed first alphabetically?",card,toilet,1.0
52,46,"Which of the two words ""card"" and ""toilet"" comes first in alphabetical order?",card,toilet,1.0
52,48,"Which one of the following two words, ""toilet"" and ""card"", comes first alphabetically?",card,toilet,1.0
52,62,"Which word comes first alphabetically, ""card"" or ""toilet""?",card,toilet,0.65
52,71,"Given the words ""card"" and ""toilet"", which comes first alphabetically?",card,toilet,1.0
52,72,"Arrange ""toilet"" and ""card"" in alphabetical order. Which comes first?",card,toilet,1.0
52,89,"Which word comes first alphabetically: ""card"" or ""toilet""?",card,toilet,0.5
52,94,"Which of the words ""toilet"" and ""card"" occurs first in alphabetical order?",card,toilet,1.0
52,98,"Consider ""card"" and ""toilet"": which one comes first alphabetically?",card,toilet,0.0
52,102,"In the alphabetical order, which word precedes the other between ""card"" and ""toilet""?",card,toilet,1.0
52,122,"Which of the words ""toilet"" and ""card"" comes first in alphabetical order?",card,toilet,1.0
52,155,"Between ""card"" and ""toilet"", which word comes first alphabetically?",card,toilet,0.2
52,170,"Which word is the first in alphabetical order, ""toilet"" or ""card""?",card,toilet,0.0
52,173,"Please determine which word comes first in alphabetical order between the two given words.
Word 1: ""card""
Word 2: ""toilet""
Output:",card,toilet,1.0
52,191,"Given two words, determine which one comes first when sorted alphabetically.
Word 1: ""toilet""
Word 2: ""card""
Output:",card,toilet,1.0
52,194,"Please determine which of the two given words comes first alphabetically.
Word 1: ""card""
Word 2: ""toilet""
Output:",card,toilet,1.0
52,202,"Write a program that determines which of two given words comes first in alphabetical order. Your program should take two words as input and output the word that comes first in alphabetical order.
Word 1: ""card""
Word 2: ""toilet""
Output word:",card,toilet,1.0
52,203,"Write a sentence that includes two words and ask GPT-3 to determine which word comes first in alphabetical order.
Words: ""toilet"" and ""card""
Output:",card,toilet,0.9
52,221,"Write a program that compares two words and determines which one comes first in alphabetical order. Your program should return the word that comes first.
Word 1: ""toilet""
Word 2: ""card""
Output word:",card,toilet,1.0
53,8,"Rewritten prompt: ""Which word between ""call"" and ""computer"" appears first when arranged in alphabetical order?""",call,computer,1.0
53,13,"Which word appears first in alphabetical order between ""computer"" and ""call""?",call,computer,0.95
53,24,"Which word, ""call"" or ""computer"", is first in alphabetical order?",call,computer,1.0
53,34,"Please determine which of the two words, ""computer"" and ""call"", appears first in alphabetical order.",call,computer,1.0
53,35,"Prompt GPT-3 to determine the alphabetical order of two words, ""computer"" and ""call"".",call,computer,0.05
53,40,"What is the alphabetical order of ""computer"" and ""call""?",call,computer,1.0
53,51,"Which of the words ""computer"" and ""call"" comes first in alphabetical order?",call,computer,0.7
53,63,"Determine which of the words ""computer"" and ""call"" comes first in alphabetical order.",call,computer,1.0
53,83,"Determine which of the words ""computer"" and ""call"" comes first alphabetically.",call,computer,1.0
53,88,"Sort ""call"" and ""computer"" in alphabetical order, and tell me which one comes first?",call,computer,1.0
53,92,"Which one precedes the other in alphabetical order: ""call"" or ""computer""?",call,computer,1.0
53,103,"Please indicate the word that comes first in alphabetical order between ""call"" and ""computer"".",call,computer,1.0
53,164,"Which word is alphabetically first, ""computer"" or ""call""?",call,computer,1.0
53,198,"Please determine which of the two provided words is the first one alphabetically. The two words to be compared are denoted by placeholders ""call"" and ""computer"".
Word 1: ""call""
Word 2: ""computer""
Output: The first word alphabetically is",call,computer,1.0
53,199,"Compare two words and determine which one precedes the other in alphabetical order.
Word 1: ""call""
Word 2: ""computer""
Output:",call,computer,0.0
53,203,"Write a sentence that includes two words and ask GPT-3 to determine which word comes first in alphabetical order.
Words: ""call"" and ""computer""
Output:",call,computer,0.4
53,212,"Given two words, determine which one comes first in alphabetical order.
Word 1: ""call""
Word 2: ""computer""
Output:",call,computer,0.4
53,214,"Write a program that determines which of two given words comes first when ordering them alphabetically. Your program should compare the first letter and proceed through the word until a difference is found, or one word is completely alphabetically before the other. 
Word 1: ""call""
Word 2: ""computer""
Output:",call,computer,1.0
53,216,"Write a program that compares two words and outputs which one comes first alphabetically.
Word 1: ""call""
Word 2: ""computer""
Output:",call,computer,1.0
53,227,"Compare two words alphabetically and determine which one comes first.
Word 1: ""computer""
Word 2: ""call""
Output:",call,computer,0.9
57,16,"Which word appears first in alphabetical order- ""boat"" or ""reading""?",boat,reading,0.0
57,20,"Which of the two words, ""boat"" and ""reading"", is alphabetically first?",boat,reading,0.0
57,27,"Arrange the words ""reading"" and ""boat"" in alphabetical order and indicate which one comes first.",boat,reading,0.0
57,50,"Which word comes first in alphabetical order: ""boat"" or ""reading""?",boat,reading,0.0
57,55,"Determine which word comes first in alphabetical order: ""reading"" or ""boat""",boat,reading,0.0
57,56,"Which of the words ""boat"" and ""reading"" would appear first if sorted alphabetically?",boat,reading,1.0
57,79,"Which word is first in alphabetical order - ""reading"" or ""boat""?",boat,reading,0.0
57,88,"Sort ""reading"" and ""boat"" in alphabetical order, and tell me which one comes first?",boat,reading,1.0
57,91,"If ""boat"" and ""reading"" were to be ordered alphabetically, which one comes first?",boat,reading,0.65
57,98,"Consider ""boat"" and ""reading"": which one comes first alphabetically?",boat,reading,0.0
57,128,"Which word comes before the other, ""boat"" or ""reading"", in alphabetical order?",boat,reading,1.0
57,133,"To put ""reading"" and ""boat"" in order, which one comes first alphabetically?",boat,reading,1.0
57,139,"Please determine which of the words, ""reading"" and ""boat"", comes first in alphabetical order.",boat,reading,0.8
57,142,"In alphabetical order, which word precedes the other, ""reading"" or ""boat""?",boat,reading,0.0
57,150,Which of the words 'boat' and 'reading' comes first in alphabetical order?,boat,reading,1.0
57,165,"Which word comes first in the alphabet, ""boat"" or ""reading""?",boat,reading,1.0
57,174,"Given two words, determine which word comes first in alphabetical order.
Word 1: ""reading""
Word 2: ""boat""
Output:",boat,reading,1.0
57,178,"Given two words, determine which word comes first alphabetically.
Word 1: ""boat""
Word 2: ""reading""
Output:",boat,reading,1.0
57,180,"Please determine which word comes first in the alphabet between two given words.
Word 1: ""boat""
Word 2: ""reading""
Output:",boat,reading,1.0
57,209,"Given two words, determine which one comes earlier in alphabetical order.
Word 1: ""boat""
Word 2: ""reading""
Output:",boat,reading,1.0
64,7,"Which word comes first in alphabetical order - ""crazy"" or ""them""?",crazy,them,0.0
64,10,"Which of the words ""crazy"" and ""them"" precedes the other in alphabetical order?",crazy,them,0.15
64,11,"Which word precedes the other in alphabetical order, ""crazy"" or ""them""?",crazy,them,0.0
64,13,"Which word appears first in alphabetical order between ""crazy"" and ""them""?",crazy,them,0.05
64,30,"Arrange the words ""crazy"" and ""them"" in alphabetical order and provide the word that comes first.",crazy,them,0.0
64,37,"Provide the alphabetical order of the words ""crazy"" and ""them"".",crazy,them,0.0
64,39,"Provide the word that comes first in alphabetical order between ""crazy"" and ""them"".",crazy,them,1.0
64,51,"Which of the words ""crazy"" and ""them"" comes first in alphabetical order?",crazy,them,0.85
64,79,"Which word is first in alphabetical order - ""crazy"" or ""them""?",crazy,them,0.0
64,92,"Which one precedes the other in alphabetical order: ""crazy"" or ""them""?",crazy,them,0.0
64,107,"Of the words ""crazy"" and ""them"", which one comes first alphabetically?",crazy,them,0.6
64,108,"Please specify which of the words ""them"" and ""crazy"" appears first in alphabetical order.",crazy,them,1.0
64,112,"Of the words ""crazy"" and ""them"", which word comes first in alphabetical order? Please use your refined vocabulary to provide your answer.",crazy,them,0.0
64,124,"Which word precedes the other in alphabetical order, ""them"" or ""crazy""?",crazy,them,0.0
64,155,"Between ""crazy"" and ""them"", which word comes first alphabetically?",crazy,them,0.0
64,165,"Which word comes first in the alphabet, ""crazy"" or ""them""?",crazy,them,0.0
64,180,"Please determine which word comes first in the alphabet between two given words.
Word 1: ""them""
Word 2: ""crazy""
Output:",crazy,them,0.0
64,185,"Determine the alphabetical order of two given words and identify which one comes first. Please provide the two words separated by a comma.
Words: ""crazy"", ""them""
Output:",crazy,them,0.0
64,186,"Given two words, determine their alphabetical order and identify which one comes first.
Word 1: ""crazy""
Word 2: ""them""
Output:",crazy,them,0.0
64,189,"Given two words, determine which one comes first alphabetically.
Word 1: ""crazy""
Word 2: ""them""
Output:",crazy,them,0.0
68,14,"What is the first word in alphabetical order between ""tram"" and ""wrong""?",tram,wrong,0.15
68,22,"Which word between ""wrong"" and ""tram"" comes first in alphabetical order?",tram,wrong,0.0
68,26,"Which of the two words, ""wrong"" and ""tram"", comes first in alphabetical order?",tram,wrong,1.0
68,27,"Arrange the words ""tram"" and ""wrong"" in alphabetical order and indicate which one comes first.",tram,wrong,1.0
68,32,"""Please determine the word that comes first in alphabetical order between ""tram"" and ""wrong"".",tram,wrong,1.0
68,43,"Which of the two words, ""tram"" and ""wrong"", comes first when arranged in alphabetical order?",tram,wrong,0.8
68,81,"""wrong"" and ""tram"" are the words being compared, please compare to determine the first alphabetically.",tram,wrong,1.0
68,88,"Sort ""tram"" and ""wrong"" in alphabetical order, and tell me which one comes first?",tram,wrong,1.0
68,94,"Which of the words ""wrong"" and ""tram"" occurs first in alphabetical order?",tram,wrong,0.2
68,100,"Please provide the word that comes first alphabetically between ""wrong"" and ""tram"".",tram,wrong,0.65
68,109,"Which of the words ""wrong"" and ""tram"" comes first alphabetically?",tram,wrong,0.0
68,112,"Of the words ""wrong"" and ""tram"", which word comes first in alphabetical order? Please use your refined vocabulary to provide your answer.",tram,wrong,1.0
68,116,"Please determine which of the two words, ""tram"" and ""wrong"", is alphabetically first.",tram,wrong,1.0
68,130,"Determine which word comes first in alphabetical order between ""wrong"" and ""tram""",tram,wrong,0.0
68,147,"Please determine which of the words ""wrong"" and ""tram"" comes first in alphabetical order.",tram,wrong,1.0
68,168,"Which word would appear first in a dictionary, ""tram"" or ""wrong""?",tram,wrong,0.1
68,173,"Please determine which word comes first in alphabetical order between the two given words.
Word 1: ""wrong""
Word 2: ""tram""
Output:",tram,wrong,0.0
68,197,"Compare the alphabetical order of two words and determine which one comes first. The two words are represented by placeholders ""wrong"" and ""tram"".
Which comes first alphabetically, ""wrong"" or ""tram""?
Output:",tram,wrong,1.0
68,207,"Write a program that compares two words and determines which one comes first in the alphabet.
Word 1: ""tram""
Word 2: ""wrong""
Output:",tram,wrong,1.0
68,219,"Write a program that compares two words and outputs which one comes first when sorted alphabetically.
word1: ""wrong""
word2: ""tram""
Output:",tram,wrong,1.0
71,4,"Which word comes first in alphabetical order, ""know"" or ""tourist""?",know,tourist,0.25
71,11,"Which word precedes the other in alphabetical order, ""know"" or ""tourist""?",know,tourist,1.0
