question_id,prompt,correct_answer,distractor,correct
30,"Q: Which word has more letters, ""flight"" or ""fashion""?
A:",fashion,flight,0.0
31,"Q: Which word has more letters, ""flight"" or ""cup""?
A:",flight,cup,0.55
32,"Q: Which word has more letters, ""bother"" or ""one""?
A:",bother,one,0.0
33,"Q: Which word has more letters, ""finger"" or ""soap""?
A:",finger,soap,0.5
34,"Q: Which word has more letters, ""stomach"" or ""face""?
A:",stomach,face,0.1
35,"Q: Which word has more letters, ""think"" or ""try""?
A:",think,try,0.45
36,"Q: Which word has more letters, ""fresh"" or ""suit""?
A:",fresh,suit,0.5
37,"Q: Which word has more letters, ""delay"" or ""company""?
A:",company,delay,0.3
38,"Q: Which word has more letters, ""teach"" or ""guy""?
A:",teach,guy,0.8
39,"Q: Which word has more letters, ""with"" or ""about""?
A:",about,with,0.6
40,"Q: Which word has more letters, ""explain"" or ""oil""?
A:",explain,oil,1.0
41,"Q: Which word has more letters, ""boring"" or ""cover""?
A:",boring,cover,0.0
42,"Q: Which word has more letters, ""water"" or ""very""?
A:",water,very,0.35
43,"Q: Which word has more letters, ""instead"" or ""father""?
A:",instead,father,0.35
44,"Q: Which word has more letters, ""tea"" or ""find""?
A:",find,tea,0.0
45,"Q: Which word has more letters, ""sun"" or ""pack""?
A:",pack,sun,0.5
46,"Q: Which word has more letters, ""about"" or ""father""?
A:",father,about,0.0
47,"Q: Which word has more letters, ""pilot"" or ""camp""?
A:",pilot,camp,0.2
48,"Q: Which word has more letters, ""sun"" or ""page""?
A:",page,sun,0.5
49,"Q: Which word has more letters, ""enough"" or ""yours""?
A:",enough,yours,0.2
50,"Q: Which word has more letters, ""mouth"" or ""almost""?
A:",almost,mouth,0.0
51,"Q: Which word has more letters, ""hungry"" or ""the""?
A:",hungry,the,0.0
52,"Q: Which word has more letters, ""family"" or ""upset""?
A:",family,upset,0.45
53,"Q: Which word has more letters, ""twice"" or ""bird""?
A:",twice,bird,0.75
54,"Q: Which word has more letters, ""fish"" or ""daughter""?
A:",daughter,fish,0.75
55,"Q: Which word has more letters, ""yeah"" or ""any""?
A:",yeah,any,0.25
56,"Q: Which word has more letters, ""history"" or ""wine""?
A:",history,wine,0.65
57,"Q: Which word has more letters, ""nose"" or ""explain""?
A:",explain,nose,0.55
58,"Q: Which word has more letters, ""cabinet"" or ""dinosaur""?
A:",dinosaur,cabinet,0.05
59,"Q: Which word has more letters, ""farm"" or ""badly""?
A:",badly,farm,0.0
60,"Q: Which word has more letters, ""slice"" or ""how""?
A:",slice,how,0.55
61,"Q: Which word has more letters, ""board"" or ""country""?
A:",country,board,0.3
62,"Q: Which word has more letters, ""rap"" or ""milk""?
A:",milk,rap,0.85
63,"Q: Which word has more letters, ""discount"" or ""draw""?
A:",discount,draw,0.25
64,"Q: Which word has more letters, ""enjoy"" or ""left""?
A:",enjoy,left,0.5
65,"Q: Which word has more letters, ""single"" or ""must""?
A:",single,must,0.9
66,"Q: Which word has more letters, ""send"" or ""close""?
A:",close,send,0.75
67,"Q: Which word has more letters, ""glad"" or ""finger""?
A:",finger,glad,0.4
68,"Q: Which word has more letters, ""blond"" or ""strong""?
A:",strong,blond,0.35
69,"Q: Which word has more letters, ""toe"" or ""dirty""?
A:",dirty,toe,0.15
70,"Q: Which word has more letters, ""name"" or ""polite""?
A:",polite,name,0.0
71,"Q: Which word has more letters, ""things"" or ""hit""?
A:",things,hit,0.2
72,"Q: Which word has more letters, ""eat"" or ""with""?
A:",with,eat,0.25
73,"Q: Which word has more letters, ""same"" or ""broken""?
A:",broken,same,0.0
74,"Q: Which word has more letters, ""money"" or ""playground""?
A:",playground,money,0.25
75,"Q: Which word has more letters, ""yogurt"" or ""kid""?
A:",yogurt,kid,0.15
76,"Q: Which word has more letters, ""quickly"" or ""math""?
A:",quickly,math,0.45
77,"Q: Which word has more letters, ""smoke"" or ""only""?
A:",smoke,only,0.5
78,"Q: Which word has more letters, ""can"" or ""friendly""?
A:",friendly,can,0.35
79,"Q: Which word has more letters, ""half"" or ""daily""?
A:",daily,half,0.0
80,"Q: Which word has more letters, ""most"" or ""skirt""?
A:",skirt,most,0.15
81,"Q: Which word has more letters, ""dog"" or ""water""?
A:",water,dog,0.2
82,"Q: Which word has more letters, ""improve"" or ""sure""?
A:",improve,sure,0.85
83,"Q: Which word has more letters, ""cover"" or ""tram""?
A:",cover,tram,0.9
84,"Q: Which word has more letters, ""know"" or ""space""?
A:",space,know,0.6
85,"Q: Which word has more letters, ""roast"" or ""folder""?
A:",folder,roast,0.5
86,"Q: Which word has more letters, ""wear"" or ""fashion""?
A:",fashion,wear,0.1
87,"Q: Which word has more letters, ""delay"" or ""hospital""?
A:",hospital,delay,0.15
88,"Q: Which word has more letters, ""chef"" or ""other""?
A:",other,chef,0.2
89,"Q: Which word has more letters, ""copy"" or ""we""?
A:",copy,we,0.25
90,"Q: Which word has more letters, ""rugby"" or ""long""?
A:",rugby,long,0.0
91,"Q: Which word has more letters, ""rain"" or ""at""?
A:",rain,at,0.05
92,"Q: Which word has more letters, ""grade"" or ""team""?
A:",grade,team,0.8
93,"Q: Which word has more letters, ""top"" or ""wine""?
A:",wine,top,0.0
94,"Q: Which word has more letters, ""word"" or ""wet""?
A:",word,wet,0.05
95,"Q: Which word has more letters, ""begin"" or ""pig""?
A:",begin,pig,0.9
96,"Q: Which word has more letters, ""document"" or ""pair""?
A:",document,pair,0.65
97,"Q: Which word has more letters, ""cabinet"" or ""wet""?
A:",cabinet,wet,0.4
98,"Q: Which word has more letters, ""under"" or ""history""?
A:",history,under,0.0
99,"Q: Which word has more letters, ""blond"" or ""end""?
A:",blond,end,0.5
100,"Q: Which word has more letters, ""an"" or ""bad""?
A:",bad,an,0.0
101,"Q: Which word has more letters, ""quiet"" or ""fun""?
A:",quiet,fun,0.55
102,"Q: Which word has more letters, ""us"" or ""out""?
A:",out,us,0.2
103,"Q: Which word has more letters, ""east"" or ""factory""?
A:",factory,east,0.1
104,"Q: Which word has more letters, ""bear"" or ""dancer""?
A:",dancer,bear,0.25
105,"Q: Which word has more letters, ""nice"" or ""hat""?
A:",nice,hat,0.5
106,"Q: Which word has more letters, ""plastic"" or ""end""?
A:",plastic,end,0.2
107,"Q: Which word has more letters, ""on"" or ""blanket""?
A:",blanket,on,0.8
108,"Q: Which word has more letters, ""ready"" or ""best""?
A:",ready,best,0.7
109,"Q: Which word has more letters, ""list"" or ""brush""?
A:",brush,list,0.0
110,"Q: Which word has more letters, ""course"" or ""far""?
A:",course,far,0.35
111,"Q: Which word has more letters, ""tie"" or ""maybe""?
A:",maybe,tie,0.15
112,"Q: Which word has more letters, ""out"" or ""history""?
A:",history,out,0.1
113,"Q: Which word has more letters, ""family"" or ""careful""?
A:",careful,family,0.2
114,"Q: Which word has more letters, ""sing"" or ""tea""?
A:",sing,tea,0.0
115,"Q: Which word has more letters, ""modern"" or ""below""?
A:",modern,below,0.0
116,"Q: Which word has more letters, ""milk"" or ""climb""?
A:",climb,milk,0.4
117,"Q: Which word has more letters, ""blouse"" or ""juice""?
A:",blouse,juice,0.6
118,"Q: Which word has more letters, ""soap"" or ""noisy""?
A:",noisy,soap,0.4
119,"Q: Which word has more letters, ""pink"" or ""price""?
A:",price,pink,0.45
120,"Q: Which word has more letters, ""bread"" or ""gray""?
A:",bread,gray,0.25
121,"Q: Which word has more letters, ""buy"" or ""history""?
A:",history,buy,0.45
122,"Q: Which word has more letters, ""ear"" or ""pilot""?
A:",pilot,ear,0.15
123,"Q: Which word has more letters, ""ask"" or ""speak""?
A:",speak,ask,0.15
124,"Q: Which word has more letters, ""them"" or ""radio""?
A:",radio,them,0.0
125,"Q: Which word has more letters, ""danger"" or ""guy""?
A:",danger,guy,0.75
126,"Q: Which word has more letters, ""kid"" or ""market""?
A:",market,kid,0.0
127,"Q: Which word has more letters, ""smoke"" or ""list""?
A:",smoke,list,0.1
128,"Q: Which word has more letters, ""day"" or ""best""?
A:",best,day,0.15
129,"Q: Which word has more letters, ""play"" or ""upset""?
A:",upset,play,0.25
130,"Q: Which word has more letters, ""shut"" or ""any""?
A:",shut,any,0.05
131,"Q: Which word has more letters, ""dancer"" or ""set""?
A:",dancer,set,0.35
132,"Q: Which word has more letters, ""how"" or ""fried""?
A:",fried,how,0.0
133,"Q: Which word has more letters, ""fail"" or ""round""?
A:",round,fail,0.2
134,"Q: Which word has more letters, ""extra"" or ""plus""?
A:",extra,plus,0.45
135,"Q: Which word has more letters, ""grow"" or ""leg""?
A:",grow,leg,0.15
136,"Q: Which word has more letters, ""tired"" or ""our""?
A:",tired,our,0.0
137,"Q: Which word has more letters, ""minute"" or ""platform""?
A:",platform,minute,0.0
138,"Q: Which word has more letters, ""talk"" or ""heavy""?
A:",heavy,talk,0.15
139,"Q: Which word has more letters, ""easy"" or ""steal""?
A:",steal,easy,0.0
140,"Q: Which word has more letters, ""hair"" or ""kilogram""?
A:",kilogram,hair,0.1
141,"Q: Which word has more letters, ""comb"" or ""fun""?
A:",comb,fun,0.7
142,"Q: Which word has more letters, ""bother"" or ""ago""?
A:",bother,ago,0.0
143,"Q: Which word has more letters, ""father"" or ""cap""?
A:",father,cap,0.35
144,"Q: Which word has more letters, ""machine"" or ""chain""?
A:",machine,chain,0.9
145,"Q: Which word has more letters, ""knife"" or ""earn""?
A:",knife,earn,0.65
146,"Q: Which word has more letters, ""brush"" or ""minute""?
A:",minute,brush,0.75
147,"Q: Which word has more letters, ""anymore"" or ""sandwich""?
A:",sandwich,anymore,0.05
148,"Q: Which word has more letters, ""could"" or ""her""?
A:",could,her,0.1
149,"Q: Which word has more letters, ""child"" or ""orange""?
A:",orange,child,0.0
150,"Q: Which word has more letters, ""flower"" or ""soup""?
A:",flower,soup,0.2
151,"Q: Which word has more letters, ""him"" or ""diary""?
A:",diary,him,0.35
152,"Q: Which word has more letters, ""boyfriend"" or ""rest""?
A:",boyfriend,rest,0.45
153,"Q: Which word has more letters, ""during"" or ""slow""?
A:",during,slow,0.25
154,"Q: Which word has more letters, ""above"" or ""how""?
A:",above,how,0.55
155,"Q: Which word has more letters, ""spring"" or ""worst""?
A:",spring,worst,0.45
156,"Q: Which word has more letters, ""block"" or ""sad""?
A:",block,sad,0.7
157,"Q: Which word has more letters, ""simple"" or ""pink""?
A:",simple,pink,0.85
158,"Q: Which word has more letters, ""player"" or ""aunt""?
A:",player,aunt,0.25
159,"Q: Which word has more letters, ""fried"" or ""man""?
A:",fried,man,0.1
160,"Q: Which word has more letters, ""mosque"" or ""gold""?
A:",mosque,gold,0.1
161,"Q: Which word has more letters, ""include"" or ""much""?
A:",include,much,0.4
162,"Q: Which word has more letters, ""badly"" or ""toe""?
A:",badly,toe,0.15
163,"Q: Which word has more letters, ""roast"" or ""rent""?
A:",roast,rent,0.15
164,"Q: Which word has more letters, ""dinosaur"" or ""desk""?
A:",dinosaur,desk,0.45
165,"Q: Which word has more letters, ""low"" or ""bike""?
A:",bike,low,0.25
166,"Q: Which word has more letters, ""old"" or ""curtain""?
A:",curtain,old,0.3
167,"Q: Which word has more letters, ""one"" or ""spend""?
A:",spend,one,0.0
168,"Q: Which word has more letters, ""no"" or ""ours""?
A:",ours,no,0.15
169,"Q: Which word has more letters, ""fog"" or ""musical""?
A:",musical,fog,0.35
170,"Q: Which word has more letters, ""pen"" or ""nose""?
A:",nose,pen,0.1
171,"Q: Which word has more letters, ""piano"" or ""left""?
A:",piano,left,0.25
172,"Q: Which word has more letters, ""things"" or ""from""?
A:",things,from,0.35
173,"Q: Which word has more letters, ""friend"" or ""note""?
A:",friend,note,0.85
174,"Q: Which word has more letters, ""only"" or ""project""?
A:",project,only,0.5
175,"Q: Which word has more letters, ""hair"" or ""no""?
A:",hair,no,0.55
176,"Q: Which word has more letters, ""parent"" or ""far""?
A:",parent,far,0.1
177,"Q: Which word has more letters, ""half"" or ""keyboard""?
A:",keyboard,half,0.1
178,"Q: Which word has more letters, ""skate"" or ""now""?
A:",skate,now,0.25
179,"Q: Which word has more letters, ""meat"" or ""wonderful""?
A:",wonderful,meat,0.15
180,"Q: Which word has more letters, ""piano"" or ""jacket""?
A:",jacket,piano,0.65
181,"Q: Which word has more letters, ""best"" or ""fashion""?
A:",fashion,best,0.15
182,"Q: Which word has more letters, ""his"" or ""up""?
A:",his,up,0.3
183,"Q: Which word has more letters, ""you"" or ""push""?
A:",push,you,0.2
184,"Q: Which word has more letters, ""fast"" or ""fruit""?
A:",fruit,fast,0.7
185,"Q: Which word has more letters, ""man"" or ""mango""?
A:",mango,man,0.0
186,"Q: Which word has more letters, ""special"" or ""bus""?
A:",special,bus,0.5
187,"Q: Which word has more letters, ""daughter"" or ""foreign""?
A:",daughter,foreign,0.45
188,"Q: Which word has more letters, ""guitar"" or ""pear""?
A:",guitar,pear,0.15
189,"Q: Which word has more letters, ""closet"" or ""show""?
A:",closet,show,0.9
190,"Q: Which word has more letters, ""kind"" or ""sugar""?
A:",sugar,kind,0.0
191,"Q: Which word has more letters, ""purse"" or ""for""?
A:",purse,for,0.1
192,"Q: Which word has more letters, ""improve"" or ""very""?
A:",improve,very,0.6
193,"Q: Which word has more letters, ""details"" or ""seat""?
A:",details,seat,0.1
194,"Q: Which word has more letters, ""fat"" or ""best""?
A:",best,fat,0.6
195,"Q: Which word has more letters, ""plastic"" or ""speak""?
A:",plastic,speak,0.15
196,"Q: Which word has more letters, ""to"" or ""dish""?
A:",dish,to,0.15
197,"Q: Which word has more letters, ""at"" or ""age""?
A:",age,at,0.5
198,"Q: Which word has more letters, ""speak"" or ""know""?
A:",speak,know,0.7
199,"Q: Which word has more letters, ""kilo"" or ""clean""?
A:",clean,kilo,0.45
200,"Q: Which word has more letters, ""chemistry"" or ""line""?
A:",chemistry,line,0.9
201,"Q: Which word has more letters, ""fly"" or ""gray""?
A:",gray,fly,0.0
202,"Q: Which word has more letters, ""country"" or ""birth""?
A:",country,birth,0.55
203,"Q: Which word has more letters, ""glove"" or ""some""?
A:",glove,some,0.4
204,"Q: Which word has more letters, ""on"" or ""guy""?
A:",guy,on,0.25
205,"Q: Which word has more letters, ""heavy"" or ""soap""?
A:",heavy,soap,0.4
206,"Q: Which word has more letters, ""once"" or ""pants""?
A:",pants,once,0.65
207,"Q: Which word has more letters, ""lend"" or ""under""?
A:",under,lend,0.9
208,"Q: Which word has more letters, ""die"" or ""luck""?
A:",luck,die,0.25
209,"Q: Which word has more letters, ""model"" or ""mother""?
A:",mother,model,0.0
210,"Q: Which word has more letters, ""lucky"" or ""name""?
A:",lucky,name,0.85
211,"Q: Which word has more letters, ""purse"" or ""bear""?
A:",purse,bear,0.35
212,"Q: Which word has more letters, ""dance"" or ""ours""?
A:",dance,ours,0.25
213,"Q: Which word has more letters, ""keyboard"" or ""so""?
A:",keyboard,so,0.7
214,"Q: Which word has more letters, ""young"" or ""trip""?
A:",young,trip,0.2
215,"Q: Which word has more letters, ""special"" or ""fair""?
A:",special,fair,0.6
216,"Q: Which word has more letters, ""kilo"" or ""white""?
A:",white,kilo,0.0
217,"Q: Which word has more letters, ""century"" or ""guest""?
A:",century,guest,0.3
218,"Q: Which word has more letters, ""shut"" or ""field""?
A:",field,shut,0.55
219,"Q: Which word has more letters, ""dirty"" or ""listen""?
A:",listen,dirty,0.3
220,"Q: Which word has more letters, ""white"" or ""can""?
A:",white,can,0.25
221,"Q: Which word has more letters, ""software"" or ""type""?
A:",software,type,0.6
222,"Q: Which word has more letters, ""ready"" or ""open""?
A:",ready,open,0.45
223,"Q: Which word has more letters, ""stadium"" or ""light""?
A:",stadium,light,0.05
224,"Q: Which word has more letters, ""insect"" or ""reading""?
A:",reading,insect,0.75
225,"Q: Which word has more letters, ""myself"" or ""cent""?
A:",myself,cent,0.6
226,"Q: Which word has more letters, ""place"" or ""hand""?
A:",place,hand,0.7
227,"Q: Which word has more letters, ""polite"" or ""stadium""?
A:",stadium,polite,0.25
228,"Q: Which word has more letters, ""sign"" or ""price""?
A:",price,sign,0.0
229,"Q: Which word has more letters, ""husband"" or ""exit""?
A:",husband,exit,0.0
230,"Q: Which word has more letters, ""mother"" or ""cost""?
A:",mother,cost,0.6
231,"Q: Which word has more letters, ""leg"" or ""break""?
A:",break,leg,0.55
232,"Q: Which word has more letters, ""south"" or ""fact""?
A:",south,fact,0.1
233,"Q: Which word has more letters, ""hit"" or ""normal""?
A:",normal,hit,0.45
234,"Q: Which word has more letters, ""life"" or ""improve""?
A:",improve,life,0.15
235,"Q: Which word has more letters, ""quick"" or ""cake""?
A:",quick,cake,0.55
236,"Q: Which word has more letters, ""stay"" or ""opera""?
A:",opera,stay,0.35
237,"Q: Which word has more letters, ""plus"" or ""fat""?
A:",plus,fat,0.45
238,"Q: Which word has more letters, ""dirty"" or ""carpet""?
A:",carpet,dirty,0.35
239,"Q: Which word has more letters, ""surfing"" or ""hers""?
A:",surfing,hers,0.05
240,"Q: Which word has more letters, ""change"" or ""also""?
A:",change,also,0.15
241,"Q: Which word has more letters, ""low"" or ""warm""?
A:",warm,low,0.1
242,"Q: Which word has more letters, ""lemon"" or ""company""?
A:",company,lemon,0.85
243,"Q: Which word has more letters, ""mark"" or ""box""?
A:",mark,box,0.8
244,"Q: Which word has more letters, ""could"" or ""ad""?
A:",could,ad,0.05
245,"Q: Which word has more letters, ""soup"" or ""project""?
A:",project,soup,0.55
246,"Q: Which word has more letters, ""night"" or ""birthday""?
A:",birthday,night,0.25
247,"Q: Which word has more letters, ""can"" or ""turn""?
A:",turn,can,0.1
248,"Q: Which word has more letters, ""reason"" or ""fly""?
A:",reason,fly,0.3
249,"Q: Which word has more letters, ""prize"" or ""bad""?
A:",prize,bad,0.65
250,"Q: Which word has more letters, ""into"" or ""place""?
A:",place,into,0.0
251,"Q: Which word has more letters, ""north"" or ""art""?
A:",north,art,0.65
252,"Q: Which word has more letters, ""throw"" or ""kite""?
A:",throw,kite,0.35
253,"Q: Which word has more letters, ""sock"" or ""pet""?
A:",sock,pet,0.3
254,"Q: Which word has more letters, ""point"" or ""country""?
A:",country,point,0.45
255,"Q: Which word has more letters, ""view"" or ""daily""?
A:",daily,view,0.0
256,"Q: Which word has more letters, ""bat"" or ""improve""?
A:",improve,bat,0.35
257,"Q: Which word has more letters, ""show"" or ""hat""?
A:",show,hat,0.65
258,"Q: Which word has more letters, ""sea"" or ""fruit""?
A:",fruit,sea,0.05
259,"Q: Which word has more letters, ""sea"" or ""name""?
A:",name,sea,0.2
260,"Q: Which word has more letters, ""pink"" or ""camping""?
A:",camping,pink,0.4
261,"Q: Which word has more letters, ""things"" or ""sort""?
A:",things,sort,0.0
262,"Q: Which word has more letters, ""belt"" or ""cheap""?
A:",cheap,belt,0.65
263,"Q: Which word has more letters, ""heart"" or ""coat""?
A:",heart,coat,0.55
264,"Q: Which word has more letters, ""enough"" or ""shirt""?
A:",enough,shirt,0.2
265,"Q: Which word has more letters, ""you"" or ""exactly""?
A:",exactly,you,0.35
266,"Q: Which word has more letters, ""age"" or ""racket""?
A:",racket,age,0.35
267,"Q: Which word has more letters, ""hers"" or ""party""?
A:",party,hers,0.15
268,"Q: Which word has more letters, ""both"" or ""player""?
A:",player,both,0.2
269,"Q: Which word has more letters, ""size"" or ""yes""?
A:",size,yes,1.0
270,"Q: Which word has more letters, ""watch"" or ""quickly""?
A:",quickly,watch,0.1
271,"Q: Which word has more letters, ""train"" or ""flower""?
A:",flower,train,0.0
272,"Q: Which word has more letters, ""car"" or ""uniform""?
A:",uniform,car,0.45
273,"Q: Which word has more letters, ""build"" or ""we""?
A:",build,we,0.85
274,"Q: Which word has more letters, ""actor"" or ""sit""?
A:",actor,sit,0.5
275,"Q: Which word has more letters, ""fried"" or ""around""?
A:",around,fried,0.7
276,"Q: Which word has more letters, ""disco"" or ""fly""?
A:",disco,fly,0.25
277,"Q: Which word has more letters, ""camping"" or ""cloudy""?
A:",camping,cloudy,0.6
278,"Q: Which word has more letters, ""nature"" or ""plate""?
A:",nature,plate,0.05
279,"Q: Which word has more letters, ""copy"" or ""country""?
A:",country,copy,0.25
280,"Q: Which word has more letters, ""stay"" or ""noise""?
A:",noise,stay,0.25
281,"Q: Which word has more letters, ""in"" or ""site""?
A:",site,in,0.1
282,"Q: Which word has more letters, ""one"" or ""lion""?
A:",lion,one,0.0
283,"Q: Which word has more letters, ""monkey"" or ""find""?
A:",monkey,find,0.0
284,"Q: Which word has more letters, ""fast"" or ""heavy""?
A:",heavy,fast,0.1
285,"Q: Which word has more letters, ""extra"" or ""island""?
A:",island,extra,0.0
286,"Q: Which word has more letters, ""race"" or ""forget""?
A:",forget,race,0.65
287,"Q: Which word has more letters, ""liter"" or ""bath""?
A:",liter,bath,0.15
288,"Q: Which word has more letters, ""golf"" or ""now""?
A:",golf,now,0.6
289,"Q: Which word has more letters, ""pear"" or ""details""?
A:",details,pear,0.6
290,"Q: Which word has more letters, ""skirt"" or ""path""?
A:",skirt,path,0.35
291,"Q: Which word has more letters, ""my"" or ""wonderful""?
A:",wonderful,my,0.15
292,"Q: Which word has more letters, ""mark"" or ""key""?
A:",mark,key,0.65
293,"Q: Which word has more letters, ""long"" or ""reading""?
A:",reading,long,0.2
294,"Q: Which word has more letters, ""normal"" or ""cream""?
A:",normal,cream,0.5
295,"Q: Which word has more letters, ""some"" or ""print""?
A:",print,some,0.0
296,"Q: Which word has more letters, ""keyboard"" or ""noise""?
A:",keyboard,noise,0.85
297,"Q: Which word has more letters, ""give"" or ""daily""?
A:",daily,give,0.35
298,"Q: Which word has more letters, ""crowd"" or ""sing""?
A:",crowd,sing,0.85
299,"Q: Which word has more letters, ""storm"" or ""fish""?
A:",storm,fish,0.7
300,"Q: Which word has more letters, ""prize"" or ""chef""?
A:",prize,chef,0.75
301,"Q: Which word has more letters, ""those"" or ""country""?
A:",country,those,0.5
302,"Q: Which word has more letters, ""oh"" or ""white""?
A:",white,oh,0.0
303,"Q: Which word has more letters, ""her"" or ""lunch""?
A:",lunch,her,0.3
304,"Q: Which word has more letters, ""simple"" or ""size""?
A:",simple,size,0.7
305,"Q: Which word has more letters, ""guy"" or ""gram""?
A:",gram,guy,0.25
306,"Q: Which word has more letters, ""arm"" or ""give""?
A:",give,arm,0.45
307,"Q: Which word has more letters, ""print"" or ""ham""?
A:",print,ham,0.95
308,"Q: Which word has more letters, ""place"" or ""careful""?
A:",careful,place,0.35
309,"Q: Which word has more letters, ""discount"" or ""musical""?
A:",discount,musical,0.5
310,"Q: Which word has more letters, ""skate"" or ""soup""?
A:",skate,soup,0.05
311,"Q: Which word has more letters, ""oil"" or ""alone""?
A:",alone,oil,0.85
312,"Q: Which word has more letters, ""scarf"" or ""like""?
A:",scarf,like,0.45
313,"Q: Which word has more letters, ""along"" or ""fun""?
A:",along,fun,0.15
314,"Q: Which word has more letters, ""best"" or ""subject""?
A:",subject,best,0.35
315,"Q: Which word has more letters, ""mother"" or ""instead""?
A:",instead,mother,0.45
316,"Q: Which word has more letters, ""north"" or ""box""?
A:",north,box,0.2
317,"Q: Which word has more letters, ""safe"" or ""final""?
A:",final,safe,0.0
318,"Q: Which word has more letters, ""postcard"" or ""life""?
A:",postcard,life,0.15
319,"Q: Which word has more letters, ""windy"" or ""with""?
A:",windy,with,0.45
320,"Q: Which word has more letters, ""jump"" or ""clean""?
A:",clean,jump,0.5
321,"Q: Which word has more letters, ""chair"" or ""luck""?
A:",chair,luck,0.5
322,"Q: Which word has more letters, ""than"" or ""strange""?
A:",strange,than,0.2
323,"Q: Which word has more letters, ""over"" or ""painter""?
A:",painter,over,0.25
324,"Q: Which word has more letters, ""soap"" or ""space""?
A:",space,soap,0.25
325,"Q: Which word has more letters, ""us"" or ""file""?
A:",file,us,0.25
326,"Q: Which word has more letters, ""diary"" or ""king""?
A:",diary,king,0.55
327,"Q: Which word has more letters, ""buy"" or ""include""?
A:",include,buy,0.85
328,"Q: Which word has more letters, ""grape"" or ""kite""?
A:",grape,kite,0.3
329,"Q: Which word has more letters, ""birthday"" or ""part""?
A:",birthday,part,0.9
330,"Q: Which word has more letters, ""bird"" or ""myself""?
A:",myself,bird,0.4
331,"Q: Which word has more letters, ""mango"" or ""carpet""?
A:",carpet,mango,0.25
332,"Q: Which word has more letters, ""square"" or ""wear""?
A:",square,wear,0.95
333,"Q: Which word has more letters, ""month"" or ""idea""?
A:",month,idea,0.8
334,"Q: Which word has more letters, ""nearly"" or ""special""?
A:",special,nearly,0.25
335,"Q: Which word has more letters, ""my"" or ""minus""?
A:",minus,my,0.4
336,"Q: Which word has more letters, ""send"" or ""storm""?
A:",storm,send,0.7
337,"Q: Which word has more letters, ""clown"" or ""bike""?
A:",clown,bike,0.4
338,"Q: Which word has more letters, ""price"" or ""gas""?
A:",price,gas,0.75
339,"Q: Which word has more letters, ""enjoy"" or ""with""?
A:",enjoy,with,0.6
340,"Q: Which word has more letters, ""month"" or ""special""?
A:",special,month,0.0
341,"Q: Which word has more letters, ""normal"" or ""save""?
A:",normal,save,0.5
342,"Q: Which word has more letters, ""tired"" or ""belt""?
A:",tired,belt,0.65
343,"Q: Which word has more letters, ""mother"" or ""try""?
A:",mother,try,0.2
344,"Q: Which word has more letters, ""hit"" or ""plant""?
A:",plant,hit,0.7
345,"Q: Which word has more letters, ""air"" or ""cover""?
A:",cover,air,0.45
346,"Q: Which word has more letters, ""normal"" or ""empty""?
A:",normal,empty,0.15
347,"Q: Which word has more letters, ""simple"" or ""star""?
A:",simple,star,0.7
